"district_code","district_name","p","q","aic_value","bic_value","time_secs","n_models_tested","intercept","sigmasq","betas_str","alphas_str","mean.Temp","mean.DTemp","PM25","mean.NO2","covariates_used_names","status","error_message"
1,"Aveiro",4,4,6098.42843496157,6168.42034950668,1909.2260658741,64,0.010409804486869,0.0219887486871911,"0.12996,0.16109,0.18278,0.11571","-0.54384,-0.17865,0.27437,0.85542",-0.00971499227747004,0.00983741564384739,0.00544211821041587,-0.0106310676331697,"mean.Temp.Lag5, mean.DTemp.Lag0, PM25.Lag0, mean.NO2.Lag2","Success",""
2,"Beja",5,1,3755.33493830743,3815.32800791752,1946.8808221817,64,1e-04,0.0326868138103871,"0.03913,-0.02746,0.00553,0.02032,0.0742","0.88828",-0.0289764142206722,0.0287738411977831,0.0104944747054006,-0.0427198999698074,"mean.Temp.Lag4, mean.DTemp.Lag4, PM25.Lag0, mean.NO2.Lag2","Success",""
3,"Braga",7,1,6735.58472170552,6805.57663625063,6662.5184109211,64,0.18893945712356,0.0434572738448329,"0.11471,0.02726,0.02204,0.04192,0.02631,0.10893,0.44274","0.16193",-0.00435882796579138,0.00414826844610707,0.00283310738041572,-0.00194539064760727,"mean.Temp.Lag7, mean.DTemp.Lag4, PM25.Lag7, mean.NO2.Lag4","Success",""
4,"Bragança",7,7,4596.32011892066,4696.30856827082,6262.74466300011,64,0.0122048215009558,0.0221569008323571,"0.08729,0.01646,0.10005,0.01142,0.08413,0.05153,0.07565","0.15869,-0.22969,0.03506,-0.04612,-0.16711,0.12212,0.69524",-0.00696863793674486,0.00628757901271948,0.00129353766772519,0.0201797616075946,"mean.Temp.Lag7, mean.DTemp.Lag3, PM25.Lag7, mean.NO2.Lag4","Success",""
5,"Castelo Branco",7,6,4651.59151867114,4746.58054555379,4716.94498896599,64,0.000898860009225311,0.0322851640756054,"0.06342,0.02037,-0.0018,0.07278,0.06216,-0.00759,0.0935","0.43521,0.0892,-0.0956,-0.37664,0.15835,0.48628",-0.0148357038566104,0.014636600257256,0.0156614460427942,-0.0294604678339625,"mean.Temp.Lag7, mean.DTemp.Lag7, PM25.Lag1, mean.NO2.Lag1","Success",""
6,"Coimbra",7,6,5534.07950015044,5629.06852703309,1485.82666897774,64,0.00113501633297085,0.0264016561195636,"0.11125,-0.00696,0.13333,0.02832,-0.03311,0.18067,-0.00102","0.68957,-0.43144,-0.14129,0.41966,-0.76886,0.81955",-0.00633919361086116,0.00651900114863133,-0.00351742644041243,-0.0100387154995478,"mean.Temp.Lag7, mean.DTemp.Lag7, PM25.Lag6, mean.NO2.Lag2","Success",""
7,"Évora",7,7,4322.88184561955,4422.87029496971,14291.577105999,64,0.159886252057034,0.0407106363250208,"0.06008,0.06219,-0.03015,0.05861,0.02844,0.11888,0.12541","-0.06162,0.0278,-0.10633,0.42358,-0.42429,0.15954,0.45619",-0.019939317675857,0.0195510133063964,0.00118317713588666,0.00304040244942235,"mean.Temp.Lag4, mean.DTemp.Lag4, PM25.Lag2, mean.NO2.Lag1","Success",""
8,"Faro",1,1,4947.80630330443,4987.80168304449,2281.10403513908,64,1e-04,0.0347278594956964,"0.08428","0.91572",-0.0148404989988277,0.0146444803970873,0.0095666523722682,-0.0123021804276335,"mean.Temp.Lag7, mean.DTemp.Lag7, PM25.Lag0, mean.NO2.Lag2","Success",""
9,"Guarda",7,7,4596.15633956202,4696.14478891218,9031.75142097473,64,0.443608954244386,0.0255030150840337,"0.10086,-0.0026,0.16703,0.07007,0.02208,0.10482,0.14785","0.03712,-0.09984,-0.17396,-0.06671,-0.13275,0.03354,0.63486",-0.0165030562459646,0.0152698861965995,0.0076309645359436,-0.0130528469166186,"mean.Temp.Lag6, mean.DTemp.Lag5, PM25.Lag0, mean.NO2.Lag2","Success",""
10,"Leiria",7,7,6152.23290168904,6252.2213510392,1430.43469190598,64,0.0267117202651022,0.0685129302682296,"0.09006,0.02854,0.1399,0.07215,0.09574,0.06345,0.15175","0.18203,-0.2055,-0.03453,-0.13377,-0.14268,0.1347,0.54959",-0.00443113485016952,0.00442581140864585,0.000352320117247542,-0.00542865902021578,"mean.Temp.Lag7, mean.DTemp.Lag7, PM25.Lag6, mean.NO2.Lag2","Success",""
11,"Lisboa",5,6,7911.59065048229,7996.58083242993,1115.18793201447,64,0.00340961910542486,0.0221849104169248,"0.23357,-0.25702,0.36332,-0.26799,0.24196","0.9985,-0.96654,0.60779,-0.25835,-0.2632,0.56717",0.000177605516604949,-0.000319380541275233,-0.000824144519339444,0.00325923769713838,"mean.Temp.Lag6, mean.DTemp.Lag6, PM25.Lag6, mean.NO2.Lag2","Success",""
12,"Portalegre",2,1,3740.3134161106,3785.30821831818,1281.36793398857,64,1e-04,0.0424946840177904,"0.12951,-0.08466","0.95513",-0.027941008053227,0.0276823996451589,0.012325650994432,-0.0420006784636255,"mean.Temp.Lag6, mean.DTemp.Lag7, PM25.Lag6, mean.NO2.Lag4","Success",""
13,"Porto",1,6,7161.58220566092,7226.57469773852,4258.97609996796,64,0.0274823265498994,0.0264835544277551,"0.2405","0.38462,-0.06532,0.02666,-0.2039,0.04437,0.5663",-0.00426872269176258,0.00397714685710117,0.00118403691489446,0.00281959390194078,"mean.Temp.Lag6, mean.DTemp.Lag3, PM25.Lag6, mean.NO2.Lag2","Success",""
14,"Santarém",6,6,5868.97330949122,5958.96291390637,2103.07733678818,64,0.00957578630077508,0.017949876909992,"0.09322,-0.01134,0.07936,0.01583,0.02116,0.11516","0.99954,-0.95913,0.57381,-0.2263,-0.29205,0.58765",-0.00593345030112333,0.00575735517289247,-1e-04,0.00395479034061736,"mean.Temp.Lag6, mean.DTemp.Lag6, PM25.Lag5, mean.NO2.Lag2","Success",""
15,"Setúbal",3,7,6232.10892006338,6312.09967954351,2753.21829104424,64,0.0111879943197275,0.036790998867311,"0.22455,0.01352,0.10053","0.20146,-0.59568,0.5326,-0.51878,0.35926,-0.05468,0.73368",-0.00718549034400078,0.00707701430930726,0.00168246133859509,1e-04,"mean.Temp.Lag6, mean.DTemp.Lag6, PM25.Lag5, mean.NO2.Lag2","Success",""
16,"Viana do Castelo",1,7,4594.25648042879,4664.2483949739,3487.66548705101,64,1e-04,0.0292743534376308,"0.08245","0.50397,0.32242,0.16393,0.20345,-0.00169,0.00061,-0.27515",-0.011155767939668,0.0107995927945852,0.00544021147359065,-0.00717153365706756,"mean.Temp.Lag5, mean.DTemp.Lag2, PM25.Lag5, mean.NO2.Lag3","Success",""
17,"Vila Real",6,7,5359.02710536296,5454.01613224561,3831.91758608818,64,0.102547023607857,0.0439334849943824,"0.15249,0.03353,0.02017,0.096,0.08837,0.06654","0.11416,0.00986,-0.22221,0.17113,-0.54077,0.54756,0.42506",-0.00748283763488412,0.00675813323548452,0.00294774663323271,0.0217380013678277,"mean.Temp.Lag6, mean.DTemp.Lag2, PM25.Lag5, mean.NO2.Lag6","Success",""
18,"Viseu",3,4,5587.03094087182,5652.02343294942,1522.69687485695,64,0.000536100868825955,0.0241875669925452,"0.17392,0.06954,0.15443","0.09661,-0.45855,0.71055,0.25332",-0.00369737171284728,0.00387100710557142,0.000458519312782493,-0.0270796208092601,"mean.Temp.Lag6, mean.DTemp.Lag2, PM25.Lag4, mean.NO2.Lag2","Success",""
