"district_code","district_name","p","q","aic_value","bic_value","time_secs","n_models_tested","intercept","sigmasq","betas_str","alphas_str","mean.Temp.Lag5","mean.DTemp.Lag0","PM25.Lag0","mean.NO2.Lag2","covariates_used_names","status","error_message"
1,"Aveiro",1,6,6101.41638097535,6166.40887305296,770.276439428329,26,0.0372439947483965,0.0230304763276295,"0.24562","0.24063,0.12037,-0.09189,-0.14268,0.17141,0.44565",-0.00752283907173264,0.00741701014678182,0.0033024442582133,-0.00681492507044352,"mean.Temp.Lag5,mean.DTemp.Lag0,PM25.Lag0,mean.NO2.Lag2","Success",""
2,"Beja",1,1,3755.38993365767,3795.38531339774,317.367926597595,9,3.66705222248489e-09,0.0321530165086106,"0.0711","0.9289",,,0.0102072148223898,-0.0430753291591855,"mean.Temp.Lag4,mean.DTemp.Lag4,PM25.Lag0,mean.NO2.Lag2","Success",""
3,"Braga",1,3,6883.96439988621,6933.95862456129,2250.81505513191,17,0.0297385285925003,0.0615361396550499,"0.21668","0.0889,-0.03544,0.72133",,,,,"mean.Temp.Lag7,mean.DTemp.Lag4,PM25.Lag7,mean.NO2.Lag4","Success",""
4,"Bragança",1,2,4677.31238252477,4722.30718473234,1614.60493516922,14,2.45278297514314e-07,0.0424361787768582,"0.119","0.09867,0.78232",,,,,"mean.Temp.Lag7,mean.DTemp.Lag3,PM25.Lag7,mean.NO2.Lag4","Success",""
5,"CasteloBranco",1,1,4677.44556687149,4717.44094661155,704.771695137024,9,2.26439970954552e-07,0.0398856755016488,"0.07672","0.92327",,,,,"mean.Temp.Lag7,mean.DTemp.Lag7,PM25.Lag1,mean.NO2.Lag1","Success",""
6,"Coimbra",1,3,5697.85768434977,5747.85190902485,479.393319606781,17,0.000531687644612607,0.0482690533432812,"0.20934","-0.13374,0.20494,0.7193",,,,-0.0181424557118618,"mean.Temp.Lag7,mean.DTemp.Lag7,PM25.Lag6,mean.NO2.Lag2","Success",""
7,"Évora",1,0,4381.03003299965,4416.0259902722,1326.9056828022,7,14.1316353234973,0.064571896674625,"0.03951","",,,,,"mean.Temp.Lag4,mean.DTemp.Lag4,PM25.Lag2,mean.NO2.Lag1","Success",""
8,"Faro",1,1,4947.7942257406,4987.78960548067,387.78439283371,9,9.30115530563371e-08,0.0347321095555128,"0.08453","0.91547",,,0.00957181179492545,-0.0124176262442283,"mean.Temp.Lag7,mean.DTemp.Lag7,PM25.Lag0,mean.NO2.Lag2","Success",""
9,"Guarda",1,4,4649.86175058697,4704.85539772956,3104.46150803566,20,0.0138931455309216,0.0440642718206239,"0.16636","-0.17749,0.15183,0.68093,0.17207",,,0.0124145726369381,-0.0128368982066653,"mean.Temp.Lag6,mean.DTemp.Lag5,PM25.Lag0,mean.NO2.Lag2","Success",""
10,"Leiria",1,2,6269.3102110829,6314.30501329048,291.901495933533,14,0.00153268813241671,0.077443449089194,"0.13425","0.27398,0.59127",,,,-0.00749105374396239,"mean.Temp.Lag7,mean.DTemp.Lag7,PM25.Lag6,mean.NO2.Lag2","Success",""
11,"Lisboa",5,6,7937.83286411034,8022.82304605797,319.829241037369,32,0.0303571518077346,0.023383427664653,"0.26651,-0.30392,0.39918,-0.27265,0.22689","0.96657,-0.92648,0.57628,-0.25798,-0.24549,0.56413",,,,0.00242837825105839,"mean.Temp.Lag6,mean.DTemp.Lag6,PM25.Lag6,mean.NO2.Lag2","Success",""
12,"Portalegre",2,1,3740.12329458989,3785.11809679746,188.405024290085,12,1.90983131216959e-06,0.044279445300804,"0.12567,-0.08088","0.95521",,,,,"mean.Temp.Lag6,mean.DTemp.Lag7,PM25.Lag6,mean.NO2.Lag4","Success",""
13,"Porto",1,6,7161.5820612916,7226.5745533692,2364.71431303024,27,0.027491616844629,0.0264833032870534,"0.2405","0.38461,-0.06532,0.02666,-0.2039,0.04434,0.56633",,,,0.00281975239275625,"mean.Temp.Lag6,mean.DTemp.Lag3,PM25.Lag6,mean.NO2.Lag2","Success",""
14,"Santarém",1,2,6008.81591568498,6053.81071789255,458.750454902649,14,5.27466814600594e-05,0.0338234303983682,"0.1444","0.26223,0.59336",,,,-0.0069979293819696,"mean.Temp.Lag6,mean.DTemp.Lag6,PM25.Lag5,mean.NO2.Lag2","Success",""
15,"Setúbal",1,3,6387.4386301779,6437.43285485298,685.381120681763,17,7.98309299272408e-06,0.0556824321107421,"0.23049","0.08075,0.10184,0.58692",,,,-0.0128001730525654,"mean.Temp.Lag6,mean.DTemp.Lag6,PM25.Lag5,mean.NO2.Lag2","Success",""
16,"VianadoCastelo",1,1,4597.0718444016,4637.06722414167,363.688090085983,9,3.35355285363853e-09,0.0322995347764411,"0.09322","0.90678",-0.0113181657722684,,,,"mean.Temp.Lag5,mean.DTemp.Lag2,PM25.Lag5,mean.NO2.Lag3","Success",""
17,"VilaReal",1,1,5388.88812031222,5428.88350005229,589.519304513931,9,0.0277732727957607,0.0507529541153045,"0.09655","0.89291",,,,,"mean.Temp.Lag6,mean.DTemp.Lag2,PM25.Lag5,mean.NO2.Lag6","Success",""
18,"Viseu",1,3,5593.37996916298,5643.37419383806,383.687838077545,17,2.5541320656126e-05,0.0249799446436912,"0.21818","0.31804,0.12772,0.33605",,,,-0.0255918238446383,"mean.Temp.Lag6,mean.DTemp.Lag2,PM25.Lag4,mean.NO2.Lag2","Success",""
