"district_code", "district_name" , "p", "q", "aic_value"     , "bic_value"     , "time_secs"       , "n_models_tested", "intercept"         , "sigmasq"         , "betas_str"                                            , "alphas_str"                                                   , "mean.Temp"          , "mean.DTemp"        , "PM25"               , "mean.NO2"           , "covariates_used_names"                                 , "status" , "error_message"
              1, "Aveiro"        ,   5,   6, 6009.0373600164 , 6094.02754196403,   573.186578989029,                64, 0.0774039594993081  , 0.0138428322571238, "0.13938,0.07786,-0.01715,0.10594,0.15533"             , "-0.0733,0.51644,-0.11275,-0.6152,-0.01664,0.81846"            , -0.00213967971022808 , 0.00207994866427132 , 0.00185231505136446  , -0.00466468055446423 , "mean.Temp.Lag5,mean.DTemp.Lag0,PM25.Lag0,mean.NO2.Lag2", "Success", ""
              2, "Beja"          ,   2,   3, 3742.94992991692, 3797.9435770595 ,   503.410372018814,                64, 0.000124160693636788, 0.0321534067996633, "0.08849,0.07185"                                      , "-0.64275,0.55793,0.9244"                                      , -0.0103883851758107  , 0.0103544421384005  , 0.0103290693143075   , -0.021328024719063   , "mean.Temp.Lag4,mean.DTemp.Lag4,PM25.Lag0,mean.NO2.Lag2", "Success", ""
              3, "Braga"         ,   6,   7, 6596.5124886223 , 6691.50151550495,   547.925518035889,                64, 0.0457528385358381  , 0.0292657675350647, "0.12151,-0.02824,0.0921,0.05009,-0.02739,0.15913"     , "0.86166,-0.5613,-0.01418,0.39278,-0.86355,0.99653,-0.1922"    , -0.00130017849719839 , 0.00123051565621154 , 0.000178487705532058 , 0.000308559560236433 , "mean.Temp.Lag7,mean.DTemp.Lag4,PM25.Lag7,mean.NO2.Lag4", "Success", ""
              4, "Bragança"      ,   6,   6, 4587.47757292179, 4677.46717733693,   517.964123010635,                64, 0.00193659008950137 , 0.0198618630442086, "0.08964,-0.05311,0.12935,-0.04352,0.06893,0.03575"    , "0.80243,-0.56837,0.09588,0.26632,-0.69067,0.86652"            , -0.00205561863892069 , 0.00188198363106766 , 0.00408711394379904  , -0.00249426594391223 , "mean.Temp.Lag7,mean.DTemp.Lag3,PM25.Lag7,mean.NO2.Lag4", "Success", ""
              5, "CasteloBranco" ,   5,   5, 4629.23051365465, 4709.22127313477,   542.99098110199 ,                64, 0.000187196351825668, 0.0309391138417482, "0.09442,0.03099,-0.05236,0.03037,0.09882"             , "0.33558,0.76936,-0.73305,-0.46805,0.89385"                    , -0.00474394697463497 , 0.00468407498955248 , 0.0066896841106266   , -0.00908781343872789 , "mean.Temp.Lag7,mean.DTemp.Lag7,PM25.Lag1,mean.NO2.Lag1", "Success", ""
              6, "Coimbra"       ,   6,   6, 5498.23755295467, 5588.22715736981,   551.770268201828,                64, 0.000157020986368952, 0.0200212164422157, "0.10956,-0.00337,0.07799,0.03985,-0.00182,0.121"      , "0.68685,-0.44428,-0.06385,0.3916,-0.78777,0.87419"            , -0.00327269347995317 , 0.00328585272964376 , 0.000189252542656111 , -0.00256214021373758 , "mean.Temp.Lag7,mean.DTemp.Lag7,PM25.Lag6,mean.NO2.Lag2", "Success", ""
              7, "Évora"         ,   6,   6, 4297.86912288958, 4387.85872730472, 12308.8732907772  ,                64, 0.0319051397397131  , 0.0334337141691658, "0.05079,0.04976,-0.00811,0.09554,-0.03857,0.11462"    , "0.81846,-0.6238,0.16979,0.1813,-0.64282,0.81234"              , -0.00441750725843326 , 0.00436928339517939 , 0.000363921990415914 , -0.0054592952737927  , "mean.Temp.Lag4,mean.DTemp.Lag4,PM25.Lag2,mean.NO2.Lag1", "Success", ""
              8, "Faro"          ,   7,   7, 4932.38147952163, 5032.36992887179,   561.295090913773,                64, 1e-04               , 0.0283473650460963, "0.08313,0.13521,0.0836,0.10213,0.11227,0.1269,0.09361", "-0.62489,0.32046,-0.03702,-0.15385,-0.5331,0.44682,0.84475"   , -0.00765509615437498 , 0.00757354824771122 , 0.00277122761693047  , -0.00928997478234212 , "mean.Temp.Lag7,mean.DTemp.Lag7,PM25.Lag0,mean.NO2.Lag2", "Success", ""
              9, "Guarda"        ,   7,   7, 4557.78433170179, 4657.77278105195,   550.528084993362,                64, 0.14764527849116    , 0.0171849941188197, "0.09462,0.0534,0.0893,0.05806,0.0631,0.07278,0.0892"  , "-0.06948,-0.11914,-0.02044,-0.13789,-0.02251,-0.10358,0.89402", -0.0091162433898227  , 0.00871515062061363 , 0.00246270542213979  , -0.00277187564599845 , "mean.Temp.Lag6,mean.DTemp.Lag5,PM25.Lag0,mean.NO2.Lag2", "Success", ""
             10, "Leiria"        ,   6,   6, 6148.63552739447, 6238.62513180962,   559.730918169022,                64, 0.00343689554430403 , 0.0685119134348235, "0.10333,-0.08789,0.18358,-0.05369,0.03371,0.09084"    , "0.97553,-0.84194,0.42583,-0.13947,-0.30067,0.60973"           , -0.00156911402544104 , 0.00156525773325244 , -0.000397334456346381, -0.000394277076145756, "mean.Temp.Lag7,mean.DTemp.Lag7,PM25.Lag6,mean.NO2.Lag2", "Success", ""
             11, "Lisboa"        ,   6,   6, 8037.22643619764, 8127.21604061278,   466.379276990891,                64, 0.0454543096770448  , 0.0286179767940426, "0.37583,-0.0675,0.05723,-0.06281,-0.17646,0.33462"    , "0.34629,-0.3635,-0.02849,0.53658,-0.55844,0.59544"            , -0.000204998583724654, 0.000159923702450703, -0.000493648807274375, 0.00131448770856429  , "mean.Temp.Lag6,mean.DTemp.Lag6,PM25.Lag6,mean.NO2.Lag2", "Success", ""
