"district_code","district_name","p","q","aic_value","bic_value","time_secs","n_models_tested","intercept","sigmasq","betas_str","alphas_str","mean.Temp","mean.DTemp","PM25","mean.NO2","covariates_used_names","status","error_message"
1,"Aveiro",1,7,6096.81149176864,6166.80340631375,131.577137947083,18,0.0156058128915441,0.0216172115789768,"0.14675","0.57747,0.27174,-0.08694,-0.33311,0.37264,0.63858,-0.59182",-0.00182380520701142,0.00184588508533441,0.000465754765421835,-0.00150997471877228,"mean.Temp.Lag5,mean.DTemp.Lag0,PM25.Lag0,mean.NO2.Lag2","Success",""
2,"Beja",1,1,3746.92033566611,3786.91571540618,43.6867411136627,8,1e-04,0.0347122557880035,"0.05562","0.94437",-0.0031115600244851,0.00310515827640822,0.00254585454521838,-0.00559373948708701,"mean.Temp.Lag4,mean.DTemp.Lag4,PM25.Lag0,mean.NO2.Lag2","Success",""
3,"Braga",1,1,7087.32960541569,7127.32498515576,35.6321489810944,8,20.2561360613444,0.0810501492200336,"0.2742","-0.27392",-0.0428121648089575,-0.0181373560636102,0.0134786438165371,-0.0232687189375345,"mean.Temp.Lag7,mean.DTemp.Lag4,PM25.Lag7,mean.NO2.Lag4","Success",""
4,"Bragança",1,6,4639.39051246304,4704.38300454064,207.814400196075,22,0.0113567647431144,0.0371433388797994,"0.1461","0.3222,0.06813,-0.09079,-0.02393,-0.17509,0.74818",-0.00364859482471238,0.00345976011633916,0.00714896891436525,-0.00220702090684177,"mean.Temp.Lag7,mean.DTemp.Lag3,PM25.Lag7,mean.NO2.Lag4","Success",""
5,"CasteloBranco",1,3,4676.84803606927,4726.84226074435,122.036659002304,12,1e-04,0.0413735547367511,"0.1375","0.28447,-0.13378,0.7118",-0.00435404012842864,0.00428821001605995,0.00663167150440409,-0.00640441885171622,"mean.Temp.Lag7,mean.DTemp.Lag7,PM25.Lag1,mean.NO2.Lag1","Success",""
6,"Coimbra",3,4,5635.70513296963,5700.69762504724,154.21013879776,20,0.00077201192068568,0.0372899670930345,"0.14374,0.05126,0.14607","-0.19223,-0.27025,0.52266,0.59851",-0.00387286737710018,0.00390008258828713,-1e-04,-0.00189965278512325,"mean.Temp.Lag7,mean.DTemp.Lag7,PM25.Lag6,mean.NO2.Lag2","Success",""
7,"Évora",2,1,4352.88533324828,4397.88013545585,63.7245631217957,12,0.0418192745880954,0.0549424888009227,"0.0363,0.0199","0.91389",-0.00277017452423236,0.00281141781171849,-0.00126094250551589,0.000941708528026454,"mean.Temp.Lag4,mean.DTemp.Lag4,PM25.Lag2,mean.NO2.Lag1","Success",""
8,"Faro",1,1,4950.37156202473,4990.36694176479,54.1634058952332,8,1e-04,0.0370137769189288,"0.07355","0.92645",-0.0016533754803578,0.00161486457441832,0.00138259328773537,0.00016520358394764,"mean.Temp.Lag7,mean.DTemp.Lag7,PM25.Lag0,mean.NO2.Lag2","Success",""
9,"Guarda",1,4,4638.80013127144,4693.79377841403,82.5450508594513,14,0.0999178787942814,0.0420259366760391,"0.13975","-0.40219,0.06634,0.7879,0.36149",-0.00895115703891524,0.00875573608508575,0.00932492046439507,-0.00662774863629451,"mean.Temp.Lag6,mean.DTemp.Lag5,PM25.Lag0,mean.NO2.Lag2","Success",""
10,"Leiria",1,2,6267.80894251008,6312.80374471765,58.5375339984894,11,0.000101452608674663,0.0779525908447489,"0.13521","0.20415,0.6606",-0.00328887737971197,0.00332582618959886,0.000109465964650012,-0.000368030323677368,"mean.Temp.Lag7,mean.DTemp.Lag7,PM25.Lag6,mean.NO2.Lag2","Success",""
11,"Lisboa",2,2,8661.34536167712,8711.3395863522,61.2066071033478,10,0.0243094959943003,0.0667488486617032,"0.36644,-0.27744","0.48418,0.42117",-0.00181531231106849,0.001812659725907,0.000793251092703251,-0.000112441047872487,"mean.Temp.Lag6,mean.DTemp.Lag6,PM25.Lag6,mean.NO2.Lag2","Success",""
12,"Portalegre",2,3,3714.64563051692,3769.6392776595,83.1520869731903,12,1e-04,0.0438256967521353,"0.08495,0.0394","-0.29846,0.21121,0.96286",-0.00727696089544293,0.00715137643777621,0.00941680173284499,-0.00965955775283427,"mean.Temp.Lag6,mean.DTemp.Lag7,PM25.Lag6,mean.NO2.Lag4","Success",""
13,"Porto",1,7,7108.5228887305,7178.51480327561,127.085850954056,18,0.0051618075459166,0.0232897913202388,"0.11362","0.99688,-0.15524,-0.0117,-0.26765,0.03446,0.98218,-0.69382",-0.000481617440779011,0.000471833869556123,0.000179015951126107,-1e-04,"mean.Temp.Lag6,mean.DTemp.Lag3,PM25.Lag6,mean.NO2.Lag2","Success",""
14,"Santarém",2,2,6009.84201057011,6059.83623524519,120.400573968887,10,0.000943803541950052,0.0340222455272581,"0.1216,0.04285","0.02837,0.80687",-0.0018381016203101,0.0018154867517878,0.00157033254946969,-0.000964556839584612,"mean.Temp.Lag6,mean.DTemp.Lag6,PM25.Lag5,mean.NO2.Lag2","Success",""
15,"Setúbal",1,3,6393.86012173491,6443.85434640999,102.142832994461,12,1e-04,0.0569700388295911,"0.22646","0.0843,0.10318,0.58605",-0.00230659737617294,0.00234113502176902,0.000799609823683288,-0.00189308890296745,"mean.Temp.Lag6,mean.DTemp.Lag6,PM25.Lag5,mean.NO2.Lag2","Success",""
16,"VianadoCastelo",1,1,4580.59663894478,4620.59201868484,44.0378859043121,8,1e-04,0.0311823968839779,"0.07242","0.92758",-0.00484283237674609,0.00480007622159287,0.00238695773841868,-0.00025126513850032,"mean.Temp.Lag5,mean.DTemp.Lag2,PM25.Lag5,mean.NO2.Lag3","Success",""
