"Simulation_ID","Path_Taken"
"run_1","(2,2) IC:5765.06 -> (0,0) IC:6680.17 -> (1,0) IC:5793.79 -> (0,1) IC:6682.15 -> (1,1) IC:5764.81 -> (2,1) IC:5764.05 -> (2,0) IC:5762.10 -> (3,0) IC:5763.98 -> (3,1) IC:5766.08"
"run_2","(2,2) IC:5638.80 -> (0,0) IC:6576.52 -> (1,0) IC:5658.94 -> (0,1) IC:6578.65 -> (1,1) IC:5639.24 -> (1,2) IC:5639.02 -> (2,1) IC:5637.24 -> (2,0) IC:5636.75 -> (3,0) IC:5637.18 -> (3,1) IC:5639.12"
"run_3","(2,2) IC:5682.29 -> (0,0) IC:6455.48 -> (1,0) IC:5698.26 -> (0,1) IC:Inf -> (1,1) IC:5682.30 -> (1,2) IC:5684.31 -> (2,1) IC:5681.58 -> (2,0) IC:5680.18 -> (3,0) IC:5681.24 -> (3,1) IC:5683.22"
"run_4","(2,2) IC:5723.80 -> (0,0) IC:6443.91 -> (1,0) IC:5778.42 -> (0,1) IC:6445.93 -> (1,1) IC:5722.49 -> (2,1) IC:5723.22 -> (1,2) IC:5725.43 -> (0,2) IC:Inf -> (2,0) IC:5722.74"
"run_5","(2,2) IC:5431.79 -> (0,0) IC:6138.36 -> (1,0) IC:5460.20 -> (0,1) IC:Inf -> (1,1) IC:5431.73 -> (2,1) IC:5431.86 -> (1,2) IC:5431.96 -> (0,2) IC:Inf -> (2,0) IC:5429.79 -> (3,0) IC:5431.85 -> (3,1) IC:5433.87"
"run_6","(2,2) IC:5824.91 -> (0,0) IC:6788.58 -> (1,0) IC:5875.70 -> (0,1) IC:6790.59 -> (1,1) IC:5824.11 -> (2,1) IC:5824.45 -> (1,2) IC:5824.12 -> (0,2) IC:Inf -> (2,0) IC:5823.42 -> (3,0) IC:5823.77 -> (3,1) IC:5816.42 -> (4,1) IC:5813.23 -> (4,0) IC:5816.73 -> (5,1) IC:5774.53 -> (5,0) IC:5798.84 -> (6,1) IC:5769.76 -> (6,0) IC:5772.97 -> (7,1) IC:5767.35 -> (7,0) IC:5766.24"
"run_7","(2,2) IC:5715.88 -> (0,0) IC:6613.53 -> (1,0) IC:5732.75 -> (0,1) IC:Inf -> (1,1) IC:5712.72 -> (2,1) IC:5712.94 -> (1,2) IC:5714.08 -> (0,2) IC:Inf -> (2,0) IC:5710.77 -> (3,0) IC:5713.12 -> (3,1) IC:5714.92"
"run_8","(2,2) IC:5669.12 -> (0,0) IC:6375.75 -> (1,0) IC:5688.81 -> (0,1) IC:Inf -> (1,1) IC:5666.44 -> (2,1) IC:5667.29 -> (1,2) IC:5667.90 -> (0,2) IC:Inf -> (2,0) IC:5665.30 -> (3,0) IC:5667.28 -> (3,1) IC:5669.28"
"run_9","(2,2) IC:5709.88 -> (0,0) IC:6593.23 -> (1,0) IC:5755.54 -> (0,1) IC:Inf -> (1,1) IC:5713.31 -> (1,2) IC:5714.93 -> (2,1) IC:5715.41 -> (3,2) IC:5712.77 -> (2,3) IC:5711.02 -> (1,3) IC:5703.17 -> (0,3) IC:Inf -> (1,4) IC:5679.01 -> (0,4) IC:Inf -> (2,4) IC:5680.13 -> (1,5) IC:5680.15 -> (0,5) IC:Inf -> (2,5) IC:5676.50 -> (3,5) IC:5684.02 -> (2,6) IC:5684.25 -> (1,6) IC:5682.29 -> (3,4) IC:5716.95 -> (3,6) IC:5685.28"
"run_10","(2,2) IC:5461.74 -> (0,0) IC:6230.57 -> (1,0) IC:5487.92 -> (0,1) IC:Inf -> (1,1) IC:5463.93 -> (1,2) IC:5459.48 -> (0,2) IC:Inf -> (1,3) IC:5449.31 -> (0,3) IC:Inf -> (2,3) IC:5454.87 -> (1,4) IC:5427.60 -> (0,4) IC:Inf -> (2,4) IC:5438.97 -> (1,5) IC:5430.69 -> (0,5) IC:Inf -> (2,5) IC:5441.76"
"run_11","(2,2) IC:5948.40 -> (0,0) IC:6761.86 -> (1,0) IC:5986.42 -> (0,1) IC:Inf -> (1,1) IC:5961.19 -> (1,2) IC:5951.70 -> (2,1) IC:5952.59 -> (3,2) IC:5945.70 -> (3,1) IC:5952.79 -> (4,2) IC:5947.42 -> (3,3) IC:5948.41 -> (2,3) IC:5954.10 -> (4,1) IC:5953.30 -> (4,3) IC:5926.79 -> (5,3) IC:5926.55 -> (5,2) IC:5915.34 -> (5,1) IC:5917.73 -> (6,2) IC:5916.39 -> (6,1) IC:5916.04 -> (6,3) IC:5935.77"
