"Simulation_ID","Path_Taken"
"run_1","(2,2) IC:6893.71 -> (0,0) IC:7093.71 -> (1,0) IC:6984.60 -> (0,1) IC:Inf -> (1,1) IC:6910.67 -> (1,2) IC:6916.15 -> (2,1) IC:6891.64 -> (2,0) IC:6967.76 -> (3,1) IC:6893.45 -> (3,0) IC:6954.99 -> (3,2) IC:6894.90"
"run_2","(2,2) IC:6908.38 -> (0,0) IC:7364.66 -> (1,0) IC:7073.82 -> (0,1) IC:Inf -> (1,1) IC:6950.22 -> (1,2) IC:6928.98 -> (2,1) IC:6906.43 -> (2,0) IC:7029.35 -> (3,1) IC:6908.33 -> (3,0) IC:7015.46 -> (3,2) IC:7022.29"
"run_3","(2,2) IC:6963.07 -> (0,0) IC:7213.34 -> (1,0) IC:7075.99 -> (0,1) IC:Inf -> (1,1) IC:6974.21 -> (1,2) IC:6969.55 -> (2,1) IC:6961.87 -> (2,0) IC:7037.57 -> (3,1) IC:6961.79 -> (3,0) IC:7020.74 -> (4,1) IC:6963.42 -> (3,2) IC:6965.43 -> (4,0) IC:7017.98 -> (4,2) IC:6964.27"
"run_4","(2,2) IC:6688.33 -> (0,0) IC:7144.20 -> (1,0) IC:6865.91 -> (0,1) IC:7146.20 -> (1,1) IC:6694.31 -> (1,2) IC:6687.54 -> (0,2) IC:Inf -> (1,3) IC:6686.01 -> (0,3) IC:Inf -> (2,3) IC:6699.46 -> (1,4) IC:6647.67 -> (0,4) IC:Inf -> (2,4) IC:6696.80 -> (1,5) IC:6642.05 -> (0,5) IC:Inf -> (2,5) IC:6713.05 -> (1,6) IC:6633.32 -> (0,6) IC:Inf -> (2,6) IC:6717.95 -> (1,7) IC:6631.10 -> (0,7) IC:Inf -> (2,7) IC:6652.02"
"run_5","(2,2) IC:6991.88 -> (0,0) IC:7338.08 -> (1,0) IC:7119.90 -> (0,1) IC:7340.10 -> (1,1) IC:6993.78 -> (1,2) IC:6984.99 -> (0,2) IC:Inf -> (1,3) IC:6975.64 -> (0,3) IC:Inf -> (2,3) IC:6971.55 -> (3,3) IC:6973.46 -> (2,4) IC:7055.82 -> (1,4) IC:6974.76 -> (3,2) IC:6973.15 -> (3,4) IC:7035.16"
"run_6","(2,2) IC:6859.23 -> (0,0) IC:7166.20 -> (1,0) IC:7000.76 -> (0,1) IC:7168.24 -> (1,1) IC:6861.16 -> (1,2) IC:6857.55 -> (0,2) IC:Inf -> (1,3) IC:6859.45 -> (0,3) IC:Inf -> (2,1) IC:6854.84 -> (2,0) IC:6950.15 -> (3,1) IC:6855.68 -> (3,0) IC:6919.83 -> (3,2) IC:6856.53"
"run_7","(2,2) IC:6850.66 -> (0,0) IC:7019.58 -> (1,0) IC:6902.31 -> (0,1) IC:7021.60 -> (1,1) IC:6878.37 -> (1,2) IC:6875.85 -> (2,1) IC:6849.63 -> (2,0) IC:6885.41 -> (3,1) IC:6848.64 -> (3,0) IC:6881.59 -> (4,1) IC:6850.58 -> (3,2) IC:6885.26 -> (4,0) IC:6883.41 -> (4,2) IC:6873.17"
"run_8","(2,2) IC:6912.15 -> (0,0) IC:7229.34 -> (1,0) IC:7042.49 -> (0,1) IC:7231.34 -> (1,1) IC:6912.64 -> (1,2) IC:6909.27 -> (0,2) IC:7233.34 -> (1,3) IC:6896.00 -> (0,3) IC:Inf -> (2,3) IC:6882.80 -> (3,3) IC:6909.83 -> (2,4) IC:6884.72 -> (1,4) IC:6888.06 -> (3,2) IC:6899.91 -> (3,4) IC:6907.51"
"run_9","(2,2) IC:6833.86 -> (0,0) IC:7112.22 -> (1,0) IC:6971.69 -> (0,1) IC:Inf -> (1,1) IC:6832.21 -> (2,1) IC:6823.73 -> (2,0) IC:6892.00 -> (3,1) IC:6808.93 -> (3,0) IC:6880.97 -> (4,1) IC:6810.93 -> (3,2) IC:6810.94 -> (4,0) IC:6875.71 -> (4,2) IC:6809.71"
"run_10","(2,2) IC:7057.41 -> (0,0) IC:7285.63 -> (1,0) IC:7125.08 -> (0,1) IC:Inf -> (1,1) IC:7091.57 -> (1,2) IC:7079.25 -> (2,1) IC:7055.43 -> (2,0) IC:7110.97 -> (3,1) IC:7057.40 -> (3,0) IC:7106.59 -> (3,2) IC:7058.61"
"run_11","(2,2) IC:6843.71 -> (0,0) IC:7122.70 -> (1,0) IC:6920.32 -> (0,1) IC:7124.70 -> (1,1) IC:6799.87 -> (2,1) IC:6780.24 -> (2,0) IC:6880.27 -> (3,1) IC:6781.81 -> (1,2) IC:6793.29 -> (3,0) IC:6874.91 -> (3,2) IC:6782.01"
