"method","p_order","q_order","count","freq"
"grid_search",1,4,190,19
"grid_search",1,5,133,13.3
"grid_search",4,4,50,5
"grid_search",2,4,46,4.6
"grid_search",3,4,40,4
"grid_search",2,5,29,2.9
"grid_search",2,6,29,2.9
"grid_search",1,6,28,2.8
"grid_search",4,7,28,2.8
"grid_search",5,7,28,2.8
"grid_search",6,7,28,2.8
"grid_search",5,6,27,2.7
"grid_search",6,5,25,2.5
"grid_search",5,4,23,2.3
"grid_search",5,5,23,2.3
"grid_search",4,5,21,2.1
"grid_search",3,5,17,1.7
"grid_search",3,6,17,1.7
"grid_search",4,6,17,1.7
"grid_search",7,4,17,1.7
"grid_search",3,7,16,1.6
"grid_search",6,0,16,1.6
"grid_search",6,6,15,1.5
"grid_search",7,5,15,1.5
"grid_search",7,6,15,1.5
"grid_search",1,7,14,1.4
"grid_search",5,2,12,1.2
"grid_search",7,2,12,1.2
"grid_search",7,3,10,1
"grid_search",2,7,9,0.9
"grid_search",7,7,9,0.9
"grid_search",6,2,8,0.8
"grid_search",6,3,8,0.8
"grid_search",7,1,7,0.7
"grid_search",6,4,6,0.6
"grid_search",7,0,6,0.6
"grid_search",5,1,3,0.3
"grid_search",5,3,2,0.2
"grid_search",2,3,1,0.1
"stepwise",1,4,269,26.9
"stepwise",2,0,235,23.5
"stepwise",1,5,174,17.4
"stepwise",1,1,76,7.6
"stepwise",1,6,53,5.3
"stepwise",2,4,37,3.7
"stepwise",2,6,32,3.2
"stepwise",2,5,28,2.8
"stepwise",1,2,19,1.9
"stepwise",3,4,15,1.5
"stepwise",1,7,13,1.3
"stepwise",2,2,10,1
"stepwise",2,3,6,0.6
"stepwise",3,2,5,0.5
"stepwise",2,1,4,0.4
"stepwise",3,1,4,0.4
"stepwise",3,5,4,0.4
"stepwise",4,4,4,0.4
"stepwise",2,7,3,0.3
"stepwise",3,7,2,0.2
"stepwise",1,3,1,0.1
"stepwise",3,3,1,0.1
"stepwise",3,6,1,0.1
"stepwise",4,2,1,0.1
"stepwise",5,4,1,0.1
"stepwise",5,5,1,0.1
"stepwise",7,1,1,0.1
