"sim_id","p_order","q_order","time","n_models_tested","aic","bic","intercept","sigmasq","beta1","beta2","beta3","beta4","beta5","beta6","beta7","alpha1","alpha2","alpha3","alpha4","alpha5","alpha6","alpha7","mean.Temp.Lag5","mean.DTemp.Lag0","PM25.Lag0","mean.NO2.Lag2","status","error_message"
1,2,6,101.670253276825,25,5581.45832395442,5650.16689786017,0.111613897042632,0.0369123963417354,0.273840729820894,0.103001617881073,,,,,,-0.193710078430916,0.312212647504704,0.0408913521317549,-0.283857395324847,0.106867236158886,0.609481336630384,,-0.00198339100956249,0.00185009498969783,0.0032374804343117,-0.0045633947766084,"Success",""
2,3,7,129.450612306595,29,5598.76775520465,5677.29183966836,0.274883610027238,0.0291769446340336,0.195622061972824,0.156325292055848,0.184774144383103,,,,,-0.222279001521385,-0.738964566933635,0.610814213426273,-0.472925999095963,0.487399761829505,0.0839351526295327,0.64309108729981,-0.000273789213157311,0.000161506462684214,-0.00410837298924506,-0.00606107871611113,"Success",""
3,2,1,47.5999965667725,11,5687.24872386188,5731.41852137272,0.0288779310633832,0.0241409769072827,0.2165753130589,-0.170098754697428,,,,,,0.9449397539668,,,,,,,-0.00134626598406593,0.00133574164879264,0.000697849682552982,-0.00079301311293425,"Success",""
4,1,6,81.9583942890167,23,5814.80540478181,5878.60622340858,0.056040016782193,0.0181205175592919,0.204486026898148,,,,,,,0.160686131456975,0.134606942942843,0.114871486834173,-0.403361196555592,0.191594987594928,0.58032427178071,,-0.00689620678104608,0.00687383043003329,0.0027633849112565,-0.00106252154704475,"Success",""
5,2,1,52.6991028785706,11,5636.31872012052,5680.48851763136,0.0196066942477716,0.0245949889217242,0.183369754883787,-0.122950500292733,,,,,,0.9342773757508,,,,,,,-0.00137046735392416,0.00138907229100825,1e-04,-0.000975158478243445,"Success",""
6,1,1,55.4717416763306,9,5709.94074943448,5749.20279166634,0.0249784121898204,0.0301879935637071,-0.00747675982115949,,,,,,,0.999999802453437,,,,,,,-0.0019067108924188,0.00193675578303471,0.000727204844000366,-0.00160490779249344,"Success",""
7,2,1,53.3982079029083,11,5317.63244733237,5361.80224484321,0.00851783707529804,0.0288731117608994,0.241562537365844,-0.201878396571432,,,,,,0.957812561320395,,,,,,,-0.000786233574949009,0.000779403276045731,-1e-04,-1e-04,"Success",""
8,3,1,107.228561878204,16,5698.13533363931,5747.21288642913,0.0281299995243426,0.0219216703557783,0.197768604608448,-0.135088886771979,-0.0344503973069699,,,,,0.963419389283097,,,,,,,-0.000332625703812405,0.000300769577617189,0.000164168518441362,0.000132307110855177,"Success",""
9,1,2,38.0892336368561,11,5625.67088340565,5669.84068091649,0.0348302194016629,0.0278514144355645,0.0805477228065623,,,,,,,0.340312130120944,0.569239852705993,,,,,,-0.00252230536664673,0.00249345106703043,0.00192329722002322,-0.00167996415338665,"Success",""
10,6,1,106.530612468719,26,5562.13521668189,5625.93603530866,0.0310394817425419,0.0288948090951913,0.231841483264226,-0.106932434019714,-0.129239862829186,0.0329792660028068,-0.0294598835925729,0.0790184332378271,,0.912907535264186,,,,,,,-0.00197984317664155,0.0019723932315466,0.000783474615171966,-0.00112432211318033,"Success",""
