"method","p_order","q_order","count","freq"
"grid_search",2,6,205,20.5
"grid_search",2,7,75,7.5
"grid_search",1,5,73,7.3
"grid_search",3,6,71,7.1
"grid_search",3,7,66,6.6
"grid_search",1,6,64,6.4
"grid_search",1,7,57,5.7
"grid_search",4,6,50,5
"grid_search",5,7,49,4.9
"grid_search",6,6,41,4.1
"grid_search",6,7,41,4.1
"grid_search",4,7,37,3.7
"grid_search",5,6,36,3.6
"grid_search",7,7,22,2.2
"grid_search",6,5,18,1.8
"grid_search",2,5,17,1.7
"grid_search",3,5,14,1.4
"grid_search",5,5,14,1.4
"grid_search",7,6,13,1.3
"grid_search",4,5,12,1.2
"grid_search",7,5,12,1.2
"grid_search",6,4,4,0.4
"grid_search",5,4,3,0.3
"grid_search",1,4,1,0.1
"grid_search",2,4,1,0.1
"grid_search",3,4,1,0.1
"grid_search",4,3,1,0.1
"grid_search",6,3,1,0.1
"grid_search",7,3,1,0.1
"stepwise",2,6,162,16.2
"stepwise",1,3,139,13.9
"stepwise",1,5,115,11.5
"stepwise",2,7,74,7.4
"stepwise",2,2,73,7.3
"stepwise",1,6,72,7.2
"stepwise",2,1,65,6.5
"stepwise",1,7,56,5.6
"stepwise",1,1,40,4
"stepwise",2,3,33,3.3
"stepwise",3,7,25,2.5
"stepwise",1,2,24,2.4
"stepwise",1,4,22,2.2
"stepwise",3,1,21,2.1
"stepwise",2,5,16,1.6
"stepwise",3,2,16,1.6
"stepwise",3,6,13,1.3
"stepwise",3,5,7,0.7
"stepwise",3,4,6,0.6
"stepwise",3,3,5,0.5
"stepwise",4,3,4,0.4
"stepwise",4,6,3,0.3
"stepwise",2,4,2,0.2
"stepwise",4,2,2,0.2
"stepwise",6,6,2,0.2
"stepwise",0,1,1,0.1
"stepwise",0,3,1,0.1
"stepwise",4,5,1,0.1
