"sim_id","p_order","q_order","time","n_models_tested","aic","bic","intercept","sigmasq","beta1","beta2","beta3","beta4","beta5","beta6","beta7","alpha1","alpha2","alpha3","alpha4","alpha5","alpha6","alpha7","mean.Temp.Lag5","mean.DTemp.Lag0","PM25.Lag0","mean.NO2.Lag2","status","error_message"
1,2,6,288.567244291306,25,5581.45832395442,5650.16689786017,0.111613897042632,0.0369123963417354,0.273840729820894,0.103001617881073,,,,,,-0.193710078430916,0.312212647504704,0.0408913521317549,-0.283857395324847,0.106867236158886,0.609481336630384,,-0.00198339100956249,0.00185009498969783,0.0032374804343117,-0.0045633947766084,"Success",""
2,3,7,369.922156333923,29,5598.76775520465,5677.29183966836,0.274883610027238,0.0291769446340336,0.195622061972824,0.156325292055848,0.184774144383103,,,,,-0.222279001521385,-0.738964566933635,0.610814213426273,-0.472925999095963,0.487399761829505,0.0839351526295327,0.64309108729981,-0.000273789213157311,0.000161506462684214,-0.00410837298924506,-0.00606107871611113,"Success",""
3,2,1,135.228566408157,11,5687.24872386188,5731.41852137272,0.0288779310633832,0.0241409769072827,0.2165753130589,-0.170098754697428,,,,,,0.9449397539668,,,,,,,-0.00134626598406593,0.00133574164879264,0.000697849682552982,-0.00079301311293425,"Success",""
4,1,6,233.833995103836,23,5814.80540479154,5878.60622341831,0.0560400168003204,0.0181205175832324,0.204486026334002,,,,,,,0.160686150147233,0.134606924395876,0.114871498405937,-0.403361209300702,0.191595007108142,0.580324253897716,,-0.00689620668639568,0.00687383033497664,0.00276338489766215,-0.00106252158436208,"Success",""
5,2,1,150.040003061295,11,5636.31872012052,5680.48851763136,0.0196066942477716,0.0245949889217242,0.183369754883787,-0.122950500292733,,,,,,0.9342773757508,,,,,,,-0.00137046735392416,0.00138907229100825,1e-04,-0.000975158478243445,"Success",""
6,1,1,156.48507142067,9,5709.94074943448,5749.20279166634,0.0249784121898204,0.0301879935637071,-0.00747675982115949,,,,,,,0.999999802453437,,,,,,,-0.0019067108924188,0.00193675578303471,0.000727204844000366,-0.00160490779249344,"Success",""
7,2,1,151.574196100235,11,5317.63244733237,5361.80224484321,0.00851783707529804,0.0288731117608994,0.241562537365844,-0.201878396571432,,,,,,0.957812561320395,,,,,,,-0.000786233574949009,0.000779403276045731,-1e-04,-1e-04,"Success",""
8,3,1,303.948313713074,16,5698.13533363931,5747.21288642913,0.0281299995243426,0.0219216703557783,0.197768604608448,-0.135088886771979,-0.0344503973069699,,,,,0.963419389283097,,,,,,,-0.000332625703812405,0.000300769577617189,0.000164168518441362,0.000132307110855177,"Success",""
9,1,2,110.030297756195,11,5625.67088340561,5669.84068091645,0.0348302193968436,0.02785141443453,0.0805477228122512,,,,,,,0.340312130327323,0.569239852495184,,,,,,-0.00252230536619316,0.00249345106661448,0.0019232972196775,-0.00167996415415389,"Success",""
10,6,1,293.978449106216,26,5562.13521668189,5625.93603530866,0.0310394817425419,0.0288948090951913,0.231841483264226,-0.106932434019714,-0.129239862829186,0.0329792660028068,-0.0294598835925729,0.0790184332378271,,0.912907535264186,,,,,,,-0.00197984317664155,0.0019723932315466,0.000783474615171966,-0.00112432211318033,"Success",""
11,2,1,158.025020599365,14,5541.84146741304,5586.01126492388,0.00869433863237896,0.0315435498074233,0.200040191327625,-0.145801448518857,,,,,,0.943191912664555,,,,,,,-0.00173410132303513,0.001786871594136,0.000493523674139252,-0.00201870298076794,"Success",""
12,1,3,181.857498407364,14,5707.43342242591,5756.51097521573,0.0164448594529858,0.0332584388031153,0.182193430038233,,,,,,,-0.111621039339262,0.297009122146967,0.627372281305613,,,,,-0.00408178523921207,0.0041131807750501,0.00145022325942737,-0.00198167460723459,"Success",""
13,1,7,305.427175045013,24,5491.16883557854,5559.87740948429,0.0347283239434086,0.0271610305742549,0.21679374378284,,,,,,,0.314724940763374,0.369802639514,-0.138405516324233,-0.344309246511685,0.202655911703852,0.768736291493465,-0.400194592607396,-0.00575120985364387,0.0057689085277197,0.00168753363200049,-0.00199903685962234,"Success",""
14,1,5,286.264813423157,22,5626.30966337598,5685.20272672376,0.0465073196406977,0.0230715559776543,0.184949235934874,,,,,,,0.61630240006879,-0.318984018458236,0.408610426788386,-0.684570507490271,0.780487395390144,,,-0.00485425072683495,0.00493760729639663,0.00245193180047988,-0.00564843888729831,"Success",""
15,1,3,178.584343194962,13,5677.52165522047,5726.59920801029,0.0310765566411188,0.0323236246987146,0.150828456853614,,,,,,,-0.177857996245087,0.212178441176989,0.8061811524725,,,,,-0.00522034889068852,0.00526715288051887,0.00231558025709918,-0.00363122198013664,"Success",""
16,1,3,154.938227176666,14,5726.02087121471,5775.09842400453,0.084540610660858,0.0334916910419911,0.222686388623579,,,,,,,-0.0260552522958549,0.198667189244864,0.58228178562247,,,,,-0.00302148349358239,0.00294979817629269,0.000974000195536168,-0.00151064810298028,"Success",""
17,2,6,349.602249622345,27,5556.11880414484,5624.82737805059,0.108206681419737,0.0251341365856278,0.196062245417387,0.161708727064099,,,,,,-0.302993665427389,0.258659280551448,0.0674459652531914,-0.257233603495108,0.0535981691923542,0.791950583080493,,-0.00595197214430681,0.00587197832725943,0.00209096170393209,-0.00255816027214838,"Success",""
18,2,1,104.575962543488,11,5611.85795831646,5656.0277558273,0.0271117596201083,0.0269701960132844,0.201551227105382,-0.157542103908293,,,,,,0.94768600110496,,,,,,,-0.00108122554221191,0.00106970505557551,0.000976055757769691,-0.00118017313989178,"Success",""
19,2,7,367.284077644348,27,5603.54488597012,5677.16121515486,0.0441597209601882,0.0240661560166065,0.241926187086678,0.212045832586904,,,,,,-0.787725588100796,0.217749437377906,0.0924130737935326,-0.160577610094287,-0.087489765075013,0.693408110981294,0.56293909538184,-0.00944022052431836,0.00943956192092428,0.00542828055456119,-0.00434255098708848,"Success",""
20,3,7,384.837406635284,26,5338.41685415598,5416.9409386197,0.252431834523627,0.0230221674692714,0.222607534204146,0.278578938971751,0.0992313394704729,,,,,-0.999991675356875,0.133165601258934,0.324815766801771,-0.174853943092316,-0.211366429148085,0.682519008265184,0.574053250162293,-0.0116324713564457,0.0114471089503516,0.00441432054678514,-0.00742565530890268,"Success",""
21,3,2,224.102559089661,15,5390.54833954525,5444.53364761405,0.0335694676364177,0.0231094092136472,0.258318876800893,0.0385133300773157,-0.197487454533303,,,,,-0.0582424451229539,0.949195140183339,,,,,,-0.00190149322099819,0.00190149991253341,0.00105311709114457,-0.00216678974284065,"Success",""
