"p","q","ic","step","run_id","start_p","start_q"
0,0,8920.97940837742,1,"start_p0_q0",0,0
0,0,8920.97940837742,2,"start_p0_q0",0,0
1,0,6107.03469145766,3,"start_p0_q0",0,0
0,1,8922.97940837742,4,"start_p0_q0",0,0
1,1,6046.37481365103,5,"start_p0_q0",0,0
1,2,6044.74111120497,6,"start_p0_q0",0,0
0,2,8924.97940837751,7,"start_p0_q0",0,0
1,3,6023.1021449546,8,"start_p0_q0",0,0
0,3,8926.97940837742,9,"start_p0_q0",0,0
1,4,5988.57407518802,10,"start_p0_q0",0,0
0,4,8928.97940837742,11,"start_p0_q0",0,0
1,5,5989.87292255603,12,"start_p0_q0",0,0
0,5,8930.97940837742,13,"start_p0_q0",0,0
2,3,6057.61763049045,14,"start_p0_q0",0,0
2,5,5991.01498061004,15,"start_p0_q0",0,0
1,0,6107.03469145766,1,"start_p1_q0",1,0
0,0,8920.97940837742,2,"start_p1_q0",1,0
0,1,8922.97940837742,3,"start_p1_q0",1,0
1,1,6046.37481365103,4,"start_p1_q0",1,0
1,2,6044.74111120497,5,"start_p1_q0",1,0
0,2,8924.97940837751,6,"start_p1_q0",1,0
1,3,6023.1021449546,7,"start_p1_q0",1,0
0,3,8926.97940837742,8,"start_p1_q0",1,0
1,4,5988.57407518802,9,"start_p1_q0",1,0
0,4,8928.97940837742,10,"start_p1_q0",1,0
1,5,5989.87292255603,11,"start_p1_q0",1,0
0,5,8930.97940837742,12,"start_p1_q0",1,0
2,3,6057.61763049045,13,"start_p1_q0",1,0
2,5,5991.01498061004,14,"start_p1_q0",1,0
0,1,8922.97940837742,1,"start_p0_q1",0,1
0,0,8920.97940837742,2,"start_p0_q1",0,1
1,0,6107.03469145766,3,"start_p0_q1",0,1
0,1,8922.97940837742,4,"start_p0_q1",0,1
1,1,6046.37481365103,5,"start_p0_q1",0,1
1,2,6044.74111120497,6,"start_p0_q1",0,1
0,2,8924.97940837751,7,"start_p0_q1",0,1
1,3,6023.1021449546,8,"start_p0_q1",0,1
0,3,8926.97940837742,9,"start_p0_q1",0,1
1,4,5988.57407518802,10,"start_p0_q1",0,1
0,4,8928.97940837742,11,"start_p0_q1",0,1
1,5,5989.87292255603,12,"start_p0_q1",0,1
0,5,8930.97940837742,13,"start_p0_q1",0,1
2,3,6057.61763049045,14,"start_p0_q1",0,1
2,5,5991.01498061004,15,"start_p0_q1",0,1
1,1,6046.37481365103,1,"start_p1_q1",1,1
0,0,8920.97940837742,2,"start_p1_q1",1,1
1,0,6107.03469145766,3,"start_p1_q1",1,1
0,1,8922.97940837742,4,"start_p1_q1",1,1
1,2,6044.74111120497,5,"start_p1_q1",1,1
0,2,8924.97940837751,6,"start_p1_q1",1,1
1,3,6023.1021449546,7,"start_p1_q1",1,1
0,3,8926.97940837742,8,"start_p1_q1",1,1
1,4,5988.57407518802,9,"start_p1_q1",1,1
0,4,8928.97940837742,10,"start_p1_q1",1,1
1,5,5989.87292255603,11,"start_p1_q1",1,1
0,5,8930.97940837742,12,"start_p1_q1",1,1
2,3,6057.61763049045,13,"start_p1_q1",1,1
2,5,5991.01498061004,14,"start_p1_q1",1,1
2,1,6044.08884054084,1,"start_p2_q1",2,1
0,0,8920.97940837742,2,"start_p2_q1",2,1
1,0,6107.03469145766,3,"start_p2_q1",2,1
0,1,8922.97940837742,4,"start_p2_q1",2,1
1,1,6046.37481365103,5,"start_p2_q1",2,1
2,2,6047.27216120425,6,"start_p2_q1",2,1
1,2,6044.74111120497,7,"start_p2_q1",2,1
3,0,6044.07108385595,8,"start_p2_q1",2,1
2,0,6042.14109370049,9,"start_p2_q1",2,1
3,1,6046.10193135873,10,"start_p2_q1",2,1
1,2,6044.74111120497,1,"start_p1_q2",1,2
0,0,8920.97940837742,2,"start_p1_q2",1,2
1,0,6107.03469145766,3,"start_p1_q2",1,2
0,1,8922.97940837742,4,"start_p1_q2",1,2
0,2,8924.97940837751,5,"start_p1_q2",1,2
1,3,6023.1021449546,6,"start_p1_q2",1,2
0,3,8926.97940837742,7,"start_p1_q2",1,2
1,4,5988.57407518802,8,"start_p1_q2",1,2
0,4,8928.97940837742,9,"start_p1_q2",1,2
1,5,5989.87292255603,10,"start_p1_q2",1,2
0,5,8930.97940837742,11,"start_p1_q2",1,2
2,3,6057.61763049045,12,"start_p1_q2",1,2
2,5,5991.01498061004,13,"start_p1_q2",1,2
2,2,6047.27216120425,1,"start_p2_q2",2,2
0,0,8920.97940837742,2,"start_p2_q2",2,2
1,0,6107.03469145766,3,"start_p2_q2",2,2
0,1,8922.97940837742,4,"start_p2_q2",2,2
1,2,6044.74111120497,5,"start_p2_q2",2,2
0,2,8924.97940837751,6,"start_p2_q2",2,2
1,3,6023.1021449546,7,"start_p2_q2",2,2
0,3,8926.97940837742,8,"start_p2_q2",2,2
1,4,5988.57407518802,9,"start_p2_q2",2,2
0,4,8928.97940837742,10,"start_p2_q2",2,2
1,5,5989.87292255603,11,"start_p2_q2",2,2
0,5,8930.97940837742,12,"start_p2_q2",2,2
2,3,6057.61763049045,13,"start_p2_q2",2,2
2,5,5991.01498061004,14,"start_p2_q2",2,2
3,0,6044.07108385595,1,"start_p3_q0",3,0
0,0,8920.97940837742,2,"start_p3_q0",3,0
1,0,6107.03469145766,3,"start_p3_q0",3,0
0,1,8922.97940837742,4,"start_p3_q0",3,0
2,0,6042.14109370049,5,"start_p3_q0",3,0
2,1,6044.08884054084,6,"start_p3_q0",3,0
1,1,6046.37481365103,7,"start_p3_q0",3,0
3,1,6046.10193135873,8,"start_p3_q0",3,0
0,3,8926.97940837742,1,"start_p0_q3",0,3
0,0,8920.97940837742,2,"start_p0_q3",0,3
1,0,6107.03469145766,3,"start_p0_q3",0,3
0,1,8922.97940837742,4,"start_p0_q3",0,3
1,1,6046.37481365103,5,"start_p0_q3",0,3
1,2,6044.74111120497,6,"start_p0_q3",0,3
0,2,8924.97940837751,7,"start_p0_q3",0,3
1,3,6023.1021449546,8,"start_p0_q3",0,3
1,4,5988.57407518802,9,"start_p0_q3",0,3
0,4,8928.97940837742,10,"start_p0_q3",0,3
1,5,5989.87292255603,11,"start_p0_q3",0,3
0,5,8930.97940837742,12,"start_p0_q3",0,3
2,3,6057.61763049045,13,"start_p0_q3",0,3
2,5,5991.01498061004,14,"start_p0_q3",0,3
3,3,6022.62704271297,1,"start_p3_q3",3,3
0,0,8920.97940837742,2,"start_p3_q3",3,3
1,0,6107.03469145766,3,"start_p3_q3",3,3
0,1,8922.97940837742,4,"start_p3_q3",3,3
2,3,6057.61763049045,5,"start_p3_q3",3,3
3,4,5991.35279286754,6,"start_p3_q3",3,3
2,4,5989.72694469027,7,"start_p3_q3",3,3
1,4,5988.57407518802,8,"start_p3_q3",3,3
0,4,8928.97940837742,9,"start_p3_q3",3,3
1,5,5989.87292255603,10,"start_p3_q3",3,3
0,3,8926.97940837742,11,"start_p3_q3",3,3
0,5,8930.97940837742,12,"start_p3_q3",3,3
2,5,5991.01498061004,13,"start_p3_q3",3,3
