"Simulation_ID","Path_Taken"
"run_1","(2,2) IC:5763.12 -> (0,0) IC:6678.17 -> (1,0) IC:5791.81 -> (0,1) IC:6680.17 -> (1,2) IC:5762.41 -> (0,2) IC:6682.17 -> (1,3) IC:5750.93 -> (0,3) IC:6684.17 -> (1,4) IC:5732.71 -> (0,4) IC:6686.18 -> (1,5) IC:5734.14 -> (0,5) IC:6688.20 -> (2,3) IC:5771.03 -> (2,5) IC:5735.73"
"run_2","(2,2) IC:5636.86 -> (0,0) IC:6574.52 -> (1,0) IC:5656.96 -> (0,1) IC:6576.66 -> (1,2) IC:5637.06 -> (2,3) IC:5637.61 -> (1,1) IC:5637.26 -> (1,3) IC:5626.68 -> (0,3) IC:6580.94 -> (1,4) IC:5598.53 -> (0,4) IC:6583.09 -> (1,5) IC:5590.11 -> (0,5) IC:6585.25 -> (1,6) IC:5591.09 -> (0,6) IC:6587.41 -> (2,4) IC:5588.31 -> (2,5) IC:5592.33 -> (3,3) IC:5598.52 -> (3,5) IC:5592.00"
"run_3","(2,2) IC:5680.35 -> (0,0) IC:6453.48 -> (1,0) IC:5696.27 -> (0,1) IC:6455.55 -> (1,2) IC:5682.35 -> (2,3) IC:5676.93 -> (1,3) IC:5675.52 -> (0,3) IC:6459.70 -> (1,4) IC:5630.71 -> (0,4) IC:6461.78 -> (1,5) IC:5633.88 -> (0,5) IC:6463.86 -> (2,5) IC:5634.46"
"run_4","(2,2) IC:5721.86 -> (0,0) IC:6441.92 -> (1,0) IC:5776.43 -> (0,1) IC:6443.94 -> (1,2) IC:5723.47 -> (2,3) IC:5716.94 -> (1,3) IC:5693.90 -> (0,3) IC:6448.01 -> (1,4) IC:5676.64 -> (0,4) IC:6450.05 -> (1,5) IC:5683.01 -> (0,5) IC:6452.09 -> (2,5) IC:5681.85"
"run_5","(2,2) IC:5429.85 -> (0,0) IC:6136.37 -> (1,0) IC:5458.21 -> (0,1) IC:6138.36 -> (1,2) IC:5430.00 -> (2,3) IC:5429.89 -> (1,1) IC:5429.75 -> (0,2) IC:6140.36 -> (2,0) IC:5427.81 -> (2,1) IC:5429.90 -> (3,1) IC:5431.93"
"run_6","(2,2) IC:5822.97 -> (0,0) IC:6786.59 -> (1,0) IC:5873.71 -> (0,1) IC:6788.60 -> (1,2) IC:5822.16 -> (0,2) IC:6790.62 -> (1,3) IC:5786.72 -> (0,3) IC:6792.65 -> (1,4) IC:5753.70 -> (0,4) IC:6794.68 -> (1,5) IC:5756.26 -> (0,5) IC:6796.72 -> (2,3) IC:5880.52 -> (2,5) IC:5758.05"
"run_7","(2,2) IC:5713.94 -> (0,0) IC:6611.54 -> (1,0) IC:5730.76 -> (0,1) IC:6613.78 -> (1,2) IC:5712.12 -> (0,2) IC:6616.03 -> (1,3) IC:5708.05 -> (0,3) IC:6618.29 -> (1,4) IC:5668.79 -> (0,4) IC:6620.55 -> (1,5) IC:5659.65 -> (0,5) IC:6622.82 -> (1,6) IC:5659.43 -> (0,6) IC:6625.10 -> (1,7) IC:5663.08 -> (0,7) IC:6627.37 -> (2,5) IC:5659.46 -> (2,7) IC:5663.62"
"run_8","(2,2) IC:5667.18 -> (0,0) IC:6373.75 -> (1,0) IC:5686.83 -> (0,1) IC:6375.84 -> (1,2) IC:5665.94 -> (0,2) IC:6377.92 -> (1,3) IC:5652.04 -> (0,3) IC:6380.01 -> (1,4) IC:5631.50 -> (0,4) IC:6382.11 -> (1,5) IC:5633.69 -> (0,5) IC:6384.21 -> (2,3) IC:5668.63 -> (2,5) IC:5643.49"
"run_9","(2,2) IC:5707.94 -> (0,0) IC:6591.24 -> (1,0) IC:5753.55 -> (0,1) IC:6593.30 -> (1,2) IC:5712.97 -> (2,3) IC:5709.10 -> (1,1) IC:5711.33 -> (1,3) IC:5701.23 -> (0,3) IC:6597.44 -> (1,4) IC:5677.10 -> (0,4) IC:6599.52 -> (1,5) IC:5678.27 -> (0,5) IC:6601.61 -> (2,5) IC:5674.64 -> (2,6) IC:5682.43 -> (1,6) IC:5680.44 -> (3,4) IC:5715.10 -> (3,6) IC:5683.50"
"run_10","(2,2) IC:5459.80 -> (0,0) IC:6228.58 -> (1,0) IC:5485.93 -> (0,1) IC:6230.68 -> (1,2) IC:5457.52 -> (0,2) IC:6232.79 -> (1,3) IC:5447.37 -> (0,3) IC:6234.91 -> (1,4) IC:5425.69 -> (0,4) IC:6237.03 -> (1,5) IC:5428.80 -> (0,5) IC:6239.15 -> (2,3) IC:5452.95 -> (2,5) IC:5439.90"
"run_11","(2,2) IC:5946.46 -> (0,0) IC:6759.87 -> (1,0) IC:5984.43 -> (0,1) IC:6761.89 -> (1,2) IC:5949.74 -> (2,3) IC:5952.19 -> (1,1) IC:5959.21 -> (1,3) IC:5934.80 -> (0,3) IC:6765.96 -> (1,4) IC:5913.03 -> (0,4) IC:6768.00 -> (1,5) IC:5907.27 -> (0,5) IC:6770.05 -> (1,6) IC:5909.59 -> (0,6) IC:6772.10 -> (2,4) IC:5937.94 -> (2,6) IC:5911.52"
"run_12","(2,2) IC:5725.66 -> (0,0) IC:6623.30 -> (1,0) IC:5760.17 -> (0,1) IC:6625.42 -> (1,2) IC:5712.61 -> (0,2) IC:6627.55 -> (1,3) IC:5697.25 -> (0,3) IC:6629.69 -> (1,4) IC:5670.05 -> (0,4) IC:6631.83 -> (1,5) IC:5672.39 -> (0,5) IC:6633.97 -> (2,3) IC:5757.79 -> (2,5) IC:5692.44"
"run_13","(2,2) IC:5763.87 -> (0,0) IC:6480.71 -> (1,0) IC:5796.86 -> (0,1) IC:6482.74 -> (1,2) IC:5752.88 -> (0,2) IC:6484.77 -> (1,3) IC:5734.21 -> (0,3) IC:6486.81 -> (1,4) IC:5711.49 -> (0,4) IC:6488.85 -> (1,5) IC:5713.52 -> (0,5) IC:6490.90 -> (2,3) IC:5751.89 -> (2,5) IC:5715.59"
"run_14","(2,2) IC:5604.37 -> (0,0) IC:6344.55 -> (1,0) IC:5648.21 -> (0,1) IC:6346.64 -> (1,2) IC:5603.43 -> (0,2) IC:6348.74 -> (1,3) IC:5571.99 -> (0,3) IC:6350.84 -> (1,4) IC:5558.55 -> (0,4) IC:6352.94 -> (1,5) IC:5561.88 -> (0,5) IC:6355.05 -> (2,3) IC:5604.59 -> (2,5) IC:5561.29"
"run_15","(2,2) IC:5809.49 -> (0,0) IC:6689.76 -> (1,0) IC:5877.37 -> (0,1) IC:6691.84 -> (1,2) IC:5813.74 -> (2,3) IC:5813.96 -> (1,1) IC:5818.02 -> (1,3) IC:5783.81 -> (0,3) IC:6696.03 -> (1,4) IC:5778.05 -> (0,4) IC:6698.13 -> (1,5) IC:5779.69 -> (0,5) IC:6700.23 -> (2,5) IC:5779.50"
"run_16","(2,2) IC:5847.48 -> (0,0) IC:6657.28 -> (1,0) IC:5684.82 -> (0,1) IC:6659.36 -> (1,1) IC:5631.09 -> (1,2) IC:5628.44 -> (0,2) IC:6661.44 -> (1,3) IC:5628.81 -> (0,3) IC:6663.53 -> (2,1) IC:5630.36 -> (2,3) IC:5628.36 -> (2,4) IC:5598.67 -> (1,4) IC:5594.73 -> (0,4) IC:6665.62 -> (1,5) IC:5597.20 -> (0,5) IC:6667.71 -> (2,5) IC:5598.95"
"run_17","(2,2) IC:5656.88 -> (0,0) IC:6636.15 -> (1,0) IC:5691.29 -> (0,1) IC:6638.24 -> (1,2) IC:5663.05 -> (2,3) IC:5657.83 -> (1,1) IC:5660.79 -> (1,3) IC:5655.93 -> (0,3) IC:6642.43 -> (1,4) IC:5612.67 -> (0,4) IC:6644.53 -> (1,5) IC:5616.76 -> (0,5) IC:6646.64 -> (2,5) IC:5613.94"
"run_18","(2,2) IC:5577.84 -> (0,0) IC:6492.65 -> (1,0) IC:5623.16 -> (0,1) IC:6494.64 -> (1,2) IC:5582.81 -> (2,3) IC:5577.54 -> (1,3) IC:5575.42 -> (0,3) IC:6498.65 -> (1,4) IC:5553.14 -> (0,4) IC:6500.66 -> (1,5) IC:5552.53 -> (0,5) IC:6502.67 -> (1,6) IC:5584.80 -> (0,6) IC:6504.69 -> (2,4) IC:5566.27 -> (2,6) IC:5556.33"
"run_19","(2,2) IC:5641.22 -> (0,0) IC:6732.18 -> (1,0) IC:5709.55 -> (0,1) IC:6734.31 -> (1,2) IC:5642.00 -> (2,3) IC:5645.82 -> (1,1) IC:5643.68 -> (1,3) IC:5634.43 -> (0,3) IC:6738.59 -> (1,4) IC:5620.81 -> (0,4) IC:6740.74 -> (1,5) IC:5626.05 -> (0,5) IC:6742.89 -> (2,5) IC:5622.98"
"run_20","(2,2) IC:5756.39 -> (0,0) IC:6513.63 -> (1,0) IC:5779.27 -> (0,1) IC:6515.65 -> (1,2) IC:5756.54 -> (2,3) IC:5760.13 -> (1,1) IC:5768.41 -> (1,3) IC:5753.93 -> (0,3) IC:6519.72 -> (1,4) IC:5743.58 -> (0,4) IC:6521.76 -> (1,5) IC:5735.23 -> (0,5) IC:6523.80 -> (1,6) IC:5734.11 -> (0,6) IC:6525.85 -> (1,7) IC:5735.84 -> (0,7) IC:6527.90 -> (2,5) IC:5745.88 -> (2,7) IC:5737.96"
"run_21","(2,2) IC:5693.92 -> (0,0) IC:6593.12 -> (1,0) IC:5724.48 -> (0,1) IC:6595.27 -> (1,2) IC:5695.54 -> (2,3) IC:5694.35 -> (1,1) IC:5698.06 -> (1,3) IC:5680.53 -> (0,3) IC:6599.57 -> (1,4) IC:5652.75 -> (0,4) IC:6601.73 -> (1,5) IC:5646.86 -> (0,5) IC:6603.89 -> (1,6) IC:5655.25 -> (0,6) IC:6606.06 -> (2,4) IC:5887.73 -> (2,6) IC:5650.31"
"run_22","(2,2) IC:5550.02 -> (0,0) IC:6356.13 -> (1,0) IC:5566.21 -> (0,1) IC:6358.17 -> (1,2) IC:5552.48 -> (2,3) IC:5556.35 -> (1,1) IC:5557.05 -> (1,3) IC:5540.54 -> (0,3) IC:6362.27 -> (1,4) IC:5519.24 -> (0,4) IC:6364.33 -> (1,5) IC:5508.59 -> (0,5) IC:6366.39 -> (1,6) IC:5508.69 -> (0,6) IC:6368.46 -> (2,4) IC:5543.89 -> (2,6) IC:5509.77"
"run_23","(2,2) IC:5601.34 -> (0,0) IC:6574.83 -> (1,0) IC:5638.01 -> (0,1) IC:6576.85 -> (1,2) IC:5595.43 -> (0,2) IC:6578.88 -> (1,3) IC:5569.84 -> (0,3) IC:6580.92 -> (1,4) IC:5550.40 -> (0,4) IC:6582.96 -> (1,5) IC:5551.07 -> (0,5) IC:6585.00 -> (2,3) IC:5555.99 -> (2,5) IC:5541.19 -> (2,6) IC:5554.61 -> (1,6) IC:5554.42 -> (3,4) IC:5603.40 -> (3,6) IC:5555.92"
"run_24","(2,2) IC:5509.30 -> (0,0) IC:6381.77 -> (1,0) IC:5529.13 -> (0,1) IC:6383.96 -> (1,2) IC:5506.71 -> (0,2) IC:6386.15 -> (1,3) IC:5508.71 -> (0,3) IC:6388.36 -> (2,1) IC:5506.93 -> (2,3) IC:5510.10"
"run_25","(2,2) IC:5540.39 -> (0,0) IC:6367.46 -> (1,0) IC:5591.70 -> (0,1) IC:6369.54 -> (1,2) IC:5537.20 -> (0,2) IC:6371.63 -> (1,3) IC:5524.41 -> (0,3) IC:6373.72 -> (1,4) IC:5520.99 -> (0,4) IC:6375.82 -> (1,5) IC:5518.29 -> (0,5) IC:6377.92 -> (1,6) IC:5518.21 -> (0,6) IC:6380.03 -> (1,7) IC:5520.27 -> (0,7) IC:6382.14 -> (2,5) IC:5514.97 -> (2,6) IC:5515.08 -> (3,4) IC:5538.16 -> (3,6) IC:5519.66"
"run_26","(2,2) IC:5655.24 -> (0,0) IC:6602.42 -> (1,0) IC:5664.87 -> (0,1) IC:6604.50 -> (1,2) IC:5626.44 -> (0,2) IC:6606.58 -> (1,3) IC:5613.12 -> (0,3) IC:6608.66 -> (1,4) IC:5592.03 -> (0,4) IC:6610.75 -> (1,5) IC:5590.77 -> (0,5) IC:6612.84 -> (1,6) IC:5587.33 -> (0,6) IC:6614.94 -> (1,7) IC:5589.47 -> (0,7) IC:6617.04 -> (2,5) IC:5587.24 -> (2,6) IC:5589.89 -> (3,4) IC:5640.97 -> (3,6) IC:5591.04"
"run_27","(2,2) IC:5633.90 -> (0,0) IC:6430.02 -> (1,0) IC:5677.90 -> (0,1) IC:6432.10 -> (1,2) IC:5632.81 -> (0,2) IC:6434.19 -> (1,3) IC:5595.09 -> (0,3) IC:6436.28 -> (1,4) IC:5565.63 -> (0,4) IC:6438.38 -> (1,5) IC:5567.82 -> (0,5) IC:6440.49 -> (2,3) IC:5629.75 -> (2,5) IC:5566.78"
"run_28","(2,2) IC:5513.94 -> (0,0) IC:6236.73 -> (1,0) IC:5552.24 -> (0,1) IC:6238.77 -> (1,2) IC:5514.46 -> (2,3) IC:5510.98 -> (1,3) IC:5504.14 -> (0,3) IC:6242.87 -> (1,4) IC:5468.21 -> (0,4) IC:6244.93 -> (1,5) IC:5470.20 -> (0,5) IC:6246.99 -> (2,5) IC:5471.60"
"run_29","(2,2) IC:5566.82 -> (0,0) IC:6361.16 -> (1,0) IC:5595.70 -> (0,1) IC:6363.24 -> (1,2) IC:5565.70 -> (0,2) IC:6365.31 -> (1,3) IC:5563.73 -> (0,3) IC:6367.39 -> (1,4) IC:5547.28 -> (0,4) IC:6369.48 -> (1,5) IC:5546.41 -> (0,5) IC:6371.57 -> (1,6) IC:5548.36 -> (0,6) IC:6373.67 -> (2,4) IC:5561.97 -> (2,6) IC:5550.68"
"run_30","(2,2) IC:5512.52 -> (0,0) IC:6355.81 -> (1,0) IC:5534.99 -> (0,1) IC:6357.88 -> (1,2) IC:5512.07 -> (0,2) IC:6359.97 -> (1,3) IC:5499.32 -> (0,3) IC:6362.05 -> (1,4) IC:5463.50 -> (0,4) IC:6364.15 -> (1,5) IC:5457.99 -> (0,5) IC:6366.24 -> (1,6) IC:5459.10 -> (0,6) IC:6368.35 -> (2,4) IC:5528.11 -> (2,6) IC:5461.28"
"run_31","(2,2) IC:5620.28 -> (0,0) IC:6447.05 -> (1,0) IC:5650.73 -> (0,1) IC:6449.03 -> (1,2) IC:5617.40 -> (0,2) IC:6451.01 -> (1,3) IC:5618.30 -> (0,3) IC:6453.00 -> (2,1) IC:5617.17 -> (1,1) IC:5615.37 -> (2,0) IC:5615.55"
"run_32","(2,2) IC:5806.71 -> (0,0) IC:6741.25 -> (1,0) IC:5834.19 -> (0,1) IC:6743.31 -> (1,2) IC:5806.17 -> (0,2) IC:6745.36 -> (1,3) IC:5773.02 -> (0,3) IC:6747.42 -> (1,4) IC:5737.50 -> (0,4) IC:6749.49 -> (1,5) IC:5738.20 -> (0,5) IC:6751.56 -> (2,3) IC:5803.42 -> (2,5) IC:5739.72"
"run_33","(2,2) IC:5765.15 -> (0,0) IC:6574.88 -> (1,0) IC:5792.97 -> (0,1) IC:6576.86 -> (1,2) IC:5764.08 -> (0,2) IC:6578.84 -> (1,3) IC:5757.90 -> (0,3) IC:6580.83 -> (1,4) IC:5732.37 -> (0,4) IC:6582.83 -> (1,5) IC:5724.07 -> (0,5) IC:6584.83 -> (1,6) IC:5723.41 -> (0,6) IC:6586.83 -> (1,7) IC:5714.68 -> (0,7) IC:6588.84 -> (2,6) IC:5728.15"
"run_34","(2,2) IC:5459.79 -> (0,0) IC:6193.01 -> (1,0) IC:5489.40 -> (0,1) IC:6194.99 -> (1,2) IC:5458.36 -> (0,2) IC:6196.98 -> (1,3) IC:5448.43 -> (0,3) IC:6198.97 -> (1,4) IC:5422.46 -> (0,4) IC:6200.96 -> (1,5) IC:5422.42 -> (0,5) IC:6202.96 -> (1,6) IC:5424.30 -> (0,6) IC:6204.97 -> (2,4) IC:5422.84 -> (2,6) IC:5424.94"
"run_35","(2,2) IC:5573.04 -> (0,0) IC:6335.00 -> (1,0) IC:5636.03 -> (0,1) IC:6337.02 -> (1,2) IC:5577.30 -> (2,3) IC:5552.09 -> (1,3) IC:5562.68 -> (2,4) IC:5558.45 -> (1,4) IC:5550.18 -> (0,4) IC:6343.09 -> (1,5) IC:5546.88 -> (0,5) IC:6345.12 -> (1,6) IC:5546.98 -> (0,6) IC:6347.16 -> (2,6) IC:5543.73 -> (2,7) IC:5551.00 -> (1,7) IC:5549.08 -> (3,5) IC:5549.51 -> (3,7) IC:5553.14"
"run_36","(2,2) IC:5775.40 -> (0,0) IC:6805.46 -> (1,0) IC:5820.32 -> (0,1) IC:6807.58 -> (1,2) IC:5774.52 -> (0,2) IC:6809.71 -> (1,3) IC:5764.21 -> (0,3) IC:6811.83 -> (1,4) IC:5749.63 -> (0,4) IC:6813.97 -> (1,5) IC:5752.39 -> (0,5) IC:6816.10 -> (2,3) IC:5774.97 -> (2,5) IC:5753.37"
"run_37","(2,2) IC:5765.86 -> (0,0) IC:6803.50 -> (1,0) IC:5851.16 -> (0,1) IC:6805.51 -> (1,2) IC:5765.86 -> (0,2) IC:6807.53 -> (1,3) IC:5744.67 -> (0,3) IC:6809.56 -> (1,4) IC:5729.33 -> (0,4) IC:6811.59 -> (1,5) IC:5734.31 -> (0,5) IC:6813.63 -> (2,3) IC:5770.09 -> (2,5) IC:5734.94"
"run_38","(2,2) IC:5651.04 -> (0,0) IC:6427.10 -> (1,0) IC:5694.48 -> (0,1) IC:6429.14 -> (1,2) IC:5650.99 -> (0,2) IC:6431.18 -> (1,3) IC:5642.35 -> (0,3) IC:6433.24 -> (1,4) IC:5631.92 -> (0,4) IC:6435.29 -> (1,5) IC:5633.31 -> (0,5) IC:6437.35 -> (2,3) IC:5652.81 -> (2,5) IC:5633.61"
"run_39","(2,2) IC:5768.30 -> (0,0) IC:6717.16 -> (1,0) IC:5821.61 -> (0,1) IC:6719.16 -> (1,2) IC:5766.09 -> (0,2) IC:6721.17 -> (1,3) IC:5745.34 -> (0,3) IC:6723.19 -> (1,4) IC:5729.70 -> (0,4) IC:6725.21 -> (1,5) IC:5720.26 -> (0,5) IC:6727.24 -> (1,6) IC:5721.47 -> (0,6) IC:6729.27 -> (2,4) IC:5734.15 -> (2,6) IC:5726.75"
"run_40","(2,2) IC:5799.29 -> (0,0) IC:6517.33 -> (1,0) IC:5838.25 -> (0,1) IC:6519.41 -> (1,2) IC:5798.68 -> (0,2) IC:6521.49 -> (1,3) IC:5792.28 -> (0,3) IC:6523.57 -> (1,4) IC:5767.03 -> (0,4) IC:6525.66 -> (1,5) IC:5762.14 -> (0,5) IC:6527.75 -> (1,6) IC:5760.65 -> (0,6) IC:6529.85 -> (1,7) IC:5762.88 -> (0,7) IC:6531.96 -> (2,5) IC:5809.60 -> (2,7) IC:5762.74"
"run_41","(2,2) IC:5589.89 -> (0,0) IC:6389.79 -> (1,0) IC:5613.85 -> (0,1) IC:6391.86 -> (1,2) IC:5586.56 -> (0,2) IC:6393.94 -> (1,3) IC:5583.60 -> (0,3) IC:6396.02 -> (1,4) IC:5555.34 -> (0,4) IC:6398.10 -> (1,5) IC:5550.26 -> (0,5) IC:6400.19 -> (1,6) IC:5551.50 -> (0,6) IC:6402.29 -> (2,4) IC:5552.60 -> (2,6) IC:5683.82"
"run_42","(2,2) IC:5520.66 -> (0,0) IC:6309.32 -> (1,0) IC:5551.12 -> (0,1) IC:6311.37 -> (1,2) IC:5518.68 -> (0,2) IC:6313.43 -> (1,3) IC:5509.85 -> (0,3) IC:6315.49 -> (1,4) IC:5469.24 -> (0,4) IC:6317.55 -> (1,5) IC:5470.54 -> (0,5) IC:6319.62 -> (2,3) IC:5518.39 -> (2,5) IC:5471.83"
"run_43","(2,2) IC:5721.26 -> (0,0) IC:6484.42 -> (1,0) IC:5753.10 -> (0,1) IC:6486.54 -> (1,2) IC:5720.70 -> (0,2) IC:6488.67 -> (1,3) IC:5710.78 -> (0,3) IC:6490.80 -> (1,4) IC:5676.83 -> (0,4) IC:6492.94 -> (1,5) IC:5676.53 -> (0,5) IC:6495.09 -> (1,6) IC:5678.18 -> (0,6) IC:6497.24 -> (2,4) IC:5718.26 -> (2,6) IC:5679.62"
"run_44","(2,2) IC:5829.13 -> (0,0) IC:6653.57 -> (1,0) IC:5883.61 -> (0,1) IC:6655.59 -> (1,2) IC:5832.22 -> (2,3) IC:5836.15 -> (1,1) IC:5845.17 -> (1,3) IC:5818.86 -> (0,3) IC:6659.66 -> (1,4) IC:5803.10 -> (0,4) IC:6661.70 -> (1,5) IC:5801.39 -> (0,5) IC:6663.75 -> (1,6) IC:5801.55 -> (0,6) IC:6665.80 -> (2,4) IC:5809.28 -> (2,6) IC:5804.53"
