method,sim_id,p,q,time,n_models,aic,bic
grid_search,1,1,4.0,95.55258417129517,64.0,5734.627132789668,5768.981419742543
grid_search,2,5,4.0,91.77314901351929,64.0,5589.446031561558,5643.431339630361
grid_search,3,7,3.0,90.89189100265503,64.0,5629.448057416629,5688.341120764415
grid_search,4,1,4.0,80.12367796897888,64.0,5678.550605346281,5712.904892299156
grid_search,5,1,4.0,101.07540202140808,64.0,5383.622145293716,5417.976432246591
grid_search,6,1,4.0,82.71910405158997,64.0,5755.61796367378,5789.972250626654
grid_search,7,2,4.0,85.51804518699646,64.0,5660.100267131685,5699.3623093635415
grid_search,8,3,6.0,85.57721281051636,64.0,5632.082821472881,5686.068129541684
grid_search,9,2,5.0,86.37509894371033,64.0,5676.496876805721,5720.66667431656
grid_search,10,1,4.0,83.35626411437988,64.0,5427.603500605042,5461.957787557917
grid_search,11,5,6.0,84.09112000465393,64.0,5903.403477672199,5967.204296298967
grid_search,12,1,4.0,73.71083188056946,64.0,5671.960106787546,5706.31439374042
grid_search,13,7,1.0,93.24653506278992,64.0,5712.306109229135,5761.383662018956
grid_search,14,4,4.0,84.74807000160217,64.0,5557.647724119046,5606.725276908867
grid_search,15,3,4.0,82.36850500106812,64.0,5779.1137394430925,5823.283536953932
grid_search,16,1,4.0,74.46326804161072,64.0,5596.640737552904,5630.995024505779
grid_search,17,4,6.0,81.42299604415894,64.0,5609.5764215793615,5668.469484927147
grid_search,18,1,5.0,81.58600497245789,64.0,5554.413315945001,5593.675358176858
grid_search,19,1,7.0,79.12441611289978,64.0,5616.449994420265,5665.527547210087
grid_search,20,6,5.0,97.42905187606812,64.0,5733.225624596782,5797.02644322355
grid_search,21,3,7.0,85.7881441116333,64.0,5634.726434299413,5693.619497647199
grid_search,22,1,5.0,87.16468691825867,64.0,5510.475251617545,5549.737293849402
grid_search,23,6,7.0,89.81160688400269,64.0,5541.959578776221,5615.575907960953
grid_search,24,1,5.0,86.68737983703613,64.0,5479.685683264935,5518.9477254967915
grid_search,25,7,6.0,82.64452600479126,64.0,5514.61057740253,5588.226906587262
grid_search,26,6,6.0,78.3886489868164,64.0,5583.981873874271,5652.690447780021
grid_search,27,5,6.0,85.67883110046387,64.0,5560.021355116046,5623.822173742814
grid_search,28,4,7.0,95.72938990592957,64.0,5466.558828380135,5530.359647006903
grid_search,29,1,5.0,98.51293396949768,64.0,5548.298906237786,5587.560948469642
grid_search,30,5,5.0,91.52572417259216,64.0,5456.410799408021,5515.303862755807
grid_search,31,5,7.0,84.91382884979248,64.0,5578.843604541434,5647.552178447184
grid_search,32,5,7.0,85.21511697769165,64.0,5734.997565779456,5803.706139685206
grid_search,33,4,5.0,89.84085893630981,64.0,5708.873093581852,5762.858401650656
grid_search,34,5,5.0,93.0691430568695,64.0,5422.425104901454,5481.3181682492395
grid_search,35,3,4.0,99.7464849948883,64.0,5543.84964445279,5588.019441963629
grid_search,36,1,4.0,84.8676769733429,64.0,5751.540476449523,5785.894763402398
grid_search,37,1,4.0,75.57544183731079,64.0,5731.2450625860165,5765.599349538891
grid_search,38,7,7.0,93.45655179023743,64.0,5631.269436382402,5709.793520846117
grid_search,39,4,6.0,78.27252292633057,64.0,5714.468430420921,5773.361493768707
grid_search,40,4,4.0,88.45656108856201,64.0,5757.06233690766,5806.1398896974815
grid_search,41,1,5.0,85.6173369884491,64.0,5552.142792041069,5591.404834272926
grid_search,42,1,4.0,92.22170996665955,64.0,5471.1513595581255,5505.505646511
grid_search,43,1,5.0,85.72814702987671,64.0,5678.418700882846,5717.680743114703
grid_search,44,5,6.0,77.50491404533386,64.0,5795.717907480561,5859.518726107329
grid_search,45,1,5.0,104.88109278678894,64.0,5842.2714391837635,5881.53348141562
grid_search,46,6,5.0,94.6685791015625,64.0,5513.1412291804,5576.942047807168
grid_search,47,1,5.0,81.18936800956726,64.0,5564.630063080824,5603.8921053126805
grid_search,48,1,5.0,86.01581406593323,64.0,5625.012201293687,5664.274243525544
grid_search,49,2,5.0,93.07024884223938,64.0,5631.022133024819,5675.191930535658
grid_search,50,5,7.0,91.72747087478638,64.0,5585.138647051754,5653.847220957504
grid_search,51,7,4.0,94.3981249332428,64.0,5744.84440083019,5808.645219456958
grid_search,52,1,4.0,85.86971521377563,64.0,5602.61498738511,5636.969274337985
grid_search,53,1,4.0,95.65748381614685,64.0,5416.968028258362,5451.322315211237
grid_search,54,4,5.0,75.04460096359253,64.0,5638.716918161291,5692.702226230094
grid_search,55,1,4.0,83.57265496253967,64.0,5650.322631597694,5684.676918550569
grid_search,56,5,6.0,88.44021415710449,64.0,5602.521956164339,5666.322774791107
grid_search,57,1,4.0,84.92392706871033,64.0,5662.512509054303,5696.866796007178
grid_search,58,4,4.0,96.9475929737091,64.0,5694.717668528649,5743.79522131847
grid_search,59,4,7.0,96.1452169418335,64.0,5485.123121139235,5548.923939766003
grid_search,60,2,4.0,85.36021399497986,64.0,5835.876449708603,5875.13849194046
grid_search,61,3,7.0,83.3614890575409,64.0,5541.169280843656,5600.062344191442
grid_search,62,4,5.0,82.55952310562134,64.0,5566.847422904198,5620.832730973001
grid_search,63,2,4.0,83.34654593467712,64.0,5544.715054925715,5583.977097157572
grid_search,64,6,7.0,83.36771988868713,64.0,5541.17849996589,5614.794829150623
grid_search,65,4,7.0,75.31452703475952,64.0,5462.699333266052,5526.50015189282
grid_search,66,1,4.0,81.30721592903137,64.0,5485.069999305301,5519.424286258176
grid_search,67,1,6.0,85.3795759677887,64.0,5600.340188349907,5644.509985860746
grid_search,68,1,5.0,85.72877407073975,64.0,5475.771458424486,5515.033500656343
grid_search,69,7,1.0,90.67472386360168,64.0,5513.364436504333,5562.441989294154
grid_search,70,1,4.0,97.02503705024719,64.0,5487.764692408049,5522.118979360924
grid_search,71,1,4.0,90.62080907821655,64.0,5635.913635931864,5670.267922884738
grid_search,72,1,4.0,96.5225121974945,64.0,5736.317187514111,5770.671474466985
grid_search,73,1,5.0,97.50182795524597,64.0,5797.589132392023,5836.85117462388
grid_search,74,4,4.0,129.35348200798035,64.0,5396.226908818531,5445.3044616083525
grid_search,75,7,5.0,101.19742608070374,64.0,5479.528031099393,5548.236605005143
grid_search,76,7,5.0,105.57487893104553,64.0,5428.259845262922,5496.968419168672
grid_search,77,5,4.0,107.06427597999573,64.0,5576.212688977104,5630.197997045908
grid_search,78,7,2.0,90.9258291721344,64.0,5501.078653092344,5555.063961161148
grid_search,79,5,4.0,95.95489811897278,64.0,5801.558852170857,5855.54416023966
