method  , sim_id, p, q  , time               , n_models, aic               , bic
stepwise,      1, 1, 4.0, 14.914425134658813 ,     14.0, 5734.627132789668 , 5768.981419742543
stepwise,      2, 2, 4.0, 20.149540185928345 ,     19.0, 5590.196811710977 , 5629.458853942834
stepwise,      3, 1, 4.0, 12.360738039016724 ,     13.0, 5632.626771483981 , 5666.981058436856
stepwise,      4, 1, 4.0, 14.626688003540039 ,     13.0, 5678.550605346281 , 5712.904892299156
stepwise,      5, 2, 0.0, 12.291875123977661 ,     11.0, 5429.788063271199 , 5449.419084387127
stepwise,      6, 1, 4.0, 13.304626941680908 ,     14.0, 5755.61796367378  , 5789.972250626654
stepwise,      7, 1, 6.0, 17.18605899810791  ,     18.0, 5661.286729495994 , 5705.456527006833
stepwise,      8, 1, 4.0, 12.956864833831787 ,     14.0, 5633.410771462391 , 5667.765058415265
stepwise,      9, 2, 5.0, 20.07007598876953  ,     18.0, 5676.496876805721 , 5720.66667431656
stepwise,     10, 1, 4.0, 12.725980997085571 ,     14.0, 5427.603500605042 , 5461.957787557917
stepwise,     11, 1, 5.0, 16.37041997909546  ,     17.0, 5909.151787620237 , 5948.413829852094
stepwise,     12, 1, 4.0, 12.17057991027832  ,     14.0, 5671.960106787546 , 5706.31439374042
stepwise,     13, 1, 4.0, 14.281921148300171 ,     14.0, 5713.404865468924 , 5747.759152421799
stepwise,     14, 1, 4.0, 12.063917875289917 ,     14.0, 5560.4677287293725, 5594.822015682247
stepwise,     15, 1, 4.0, 13.20953106880188  ,     14.0, 5779.961856688132 , 5814.316143641006
stepwise,     16, 1, 4.0, 15.062973022460938 ,     17.0, 5596.640737552904 , 5630.995024505779
stepwise,     17, 1, 4.0, 13.590837001800537 ,     14.0, 5614.583779787453 , 5648.9380667403275
stepwise,     18, 1, 5.0, 17.13407611846924  ,     16.0, 5554.413315945001 , 5593.675358176858
stepwise,     19, 1, 4.0, 14.323683977127075 ,     14.0, 5622.725483788054 , 5657.079770740928
stepwise,     20, 1, 6.0, 18.39630913734436  ,     19.0, 5735.961414016633 , 5780.131211527472
stepwise,     21, 1, 5.0, 16.509382009506226 ,     17.0, 5648.743705124743 , 5688.0057473566
stepwise,     22, 1, 5.0, 16.18003821372986  ,     17.0, 5510.475251617545 , 5549.737293849402
stepwise,     23, 2, 5.0, 20.55600595474243  ,     18.0, 5543.041356808409 , 5587.211154319248
stepwise,     24, 1, 2.0,  9.079293966293335 ,     10.0, 5508.6675439263445, 5533.206320321256
