"district_code", "district_name"   , "tested_p", "tested_q", "aic_value"
              1, "Aveiro"          ,          2,          2, 6113.42294139751
              1, "Aveiro"          ,          0,          0, 6605.58535632853
              1, "Aveiro"          ,          1,          0, 6475.72716826463
              1, "Aveiro"          ,          0,          1, 6607.56149602272
              1, "Aveiro"          ,          1,          2, 6433.75767201381
              1, "Aveiro"          ,          2,          3, 6393.59809621673
              1, "Aveiro"          ,          1,          1, 6427.48101973306
              1, "Aveiro"          ,          1,          3, 6111.74715605604
              1, "Aveiro"          ,          0,          3, 6627.34591289996
              1, "Aveiro"          ,          1,          4, 6106.72914807831
              1, "Aveiro"          ,          0,          4, 6634.03207156879
              1, "Aveiro"          ,          1,          5, 6102.49025036633
              1, "Aveiro"          ,          0,          5, 6635.66437186601
              1, "Aveiro"          ,          1,          6, 6099.42675860354
              1, "Aveiro"          ,          0,          6, 6648.09825238554
              1, "Aveiro"          ,          1,          7, 6375.82656193731
              1, "Aveiro"          ,          0,          7, 6692.14248871871
              1, "Aveiro"          ,          2,          5, 6334.54771872552
              1, "Aveiro"          ,          2,          7, 6169.36815987866
              2, "Beja"            ,          2,          2, 3757.79695838922
              2, "Beja"            ,          0,          0, 4010.27117545038
              2, "Beja"            ,          1,          0, 3948.1962468782
              2, "Beja"            ,          0,          1, 4012.29558636035
              2, "Beja"            ,          1,          2, 3755.91104967534
              2, "Beja"            ,          0,          2, 4017.06356708445
              2, "Beja"            ,          1,          3, 3762.35079648165
              2, "Beja"            ,          0,          3, 4020.39302096747
              2, "Beja"            ,          2,          1, 3755.07339000699
              2, "Beja"            ,          1,          1, 3753.4094744845
              2, "Beja"            ,          2,          0, 3927.10240339953
              3, "Braga"           ,          2,          2, 7124.80507702515
              3, "Braga"           ,          0,          0, 7173.74454068191
              3, "Braga"           ,          1,          0, 7143.24646142679
              3, "Braga"           ,          0,          1, 7177.41906587528
              3, "Braga"           ,          1,          2, 6896.07314199755
              3, "Braga"           ,          0,          2, 7183.18201351916
              3, "Braga"           ,          1,          3, 6882.00468504027
              3, "Braga"           ,          0,          3, 7183.3093362319
              3, "Braga"           ,          1,          4, 7127.2237093391
              3, "Braga"           ,          0,          4, 7189.66385629351
              3, "Braga"           ,          2,          4, 6889.39067609499
              4, "Bragança"        ,          2,          2, 4677.07084042947
              4, "Bragança"        ,          0,          0, 4943.54789223937
              4, "Bragança"        ,          1,          0, 4860.44099698266
              4, "Bragança"        ,          0,          1, 4945.53152775387
              4, "Bragança"        ,          1,          2, 4675.41881186085
              4, "Bragança"        ,          0,          2, 4955.30725237274
              4, "Bragança"        ,          1,          3, 4678.24205612598
              4, "Bragança"        ,          0,          3, 4961.14962232334
              4, "Bragança"        ,          2,          1, 4819.40627978171
              4, "Bragança"        ,          2,          3, 4681.6167339428
              5, "Castelo Branco"  ,          2,          2, 4882.65460603019
              5, "Castelo Branco"  ,          0,          0, 5247.75738768544
              5, "Castelo Branco"  ,          1,          0, 5013.49764404032
              5, "Castelo Branco"  ,          0,          1, 5249.82574567528
              5, "Castelo Branco"  ,          1,          2, 4678.56833196247
              5, "Castelo Branco"  ,          0,          2, 5259.82676455379
              5, "Castelo Branco"  ,          1,          3, 4677.68892898587
              5, "Castelo Branco"  ,          0,          3, 5266.1260106375
              5, "Castelo Branco"  ,          1,          4, 4681.04328128552
              5, "Castelo Branco"  ,          0,          4, 5269.40436437203
              5, "Castelo Branco"  ,          2,          4, 4679.419361231
              6, "Coimbra"         ,          2,          2, 6112.13499064972
              6, "Coimbra"         ,          0,          0, 6784.1916810121
              6, "Coimbra"         ,          1,          0, 6282.71931919323
              6, "Coimbra"         ,          0,          1, 6786.09933834224
              6, "Coimbra"         ,          1,          2, 5713.40973461513
              6, "Coimbra"         ,          0,          2, 6793.35538812214
              6, "Coimbra"         ,          1,          3, 5695.8576899358
              6, "Coimbra"         ,          0,          3, 6798.40180020577
              6, "Coimbra"         ,          1,          4, 5697.78685670855
              6, "Coimbra"         ,          0,          4, 6808.97154911576
              6, "Coimbra"         ,          2,          4, 5701.23181572179
              7, "Évora"           ,          2,          2, 4397.79308195883
              7, "Évora"           ,          0,          0, 4379.53002685999
              7, "Évora"           ,          1,          0, 4379.03003299762
              7, "Évora"           ,          0,          1, 4381.6627213792
              7, "Évora"           ,          1,          1, 4387.12831071639
              7, "Évora"           ,          2,          1, 4398.67277111693
              8, "Faro"            ,          2,          2, 4949.25064009149
              8, "Faro"            ,          0,          0, 6119.01682684911
              8, "Faro"            ,          1,          0, 5568.03936968026
              8, "Faro"            ,          0,          1, 6120.95189767426
              8, "Faro"            ,          1,          2, 4949.67606657258
              8, "Faro"            ,          2,          3, 4950.99339977906
              8, "Faro"            ,          1,          1, 4945.80630330443
              8, "Faro"            ,          0,          2, 6122.95648240947
              8, "Faro"            ,          2,          0, 5372.10485776233
              9, "Guarda"          ,          2,          2, 4725.68560926576
              9, "Guarda"          ,          0,          0, 4801.45558398229
              9, "Guarda"          ,          1,          0, 4764.17122903618
              9, "Guarda"          ,          0,          1, 4803.44502289319
              9, "Guarda"          ,          1,          2, 4656.02185431668
              9, "Guarda"          ,          0,          2, 4809.04623465745
              9, "Guarda"          ,          1,          3, 4646.76865763955
              9, "Guarda"          ,          0,          3, 4814.50718654052
              9, "Guarda"          ,          1,          4, 4647.86932187641
              9, "Guarda"          ,          0,          4, 4817.33237206645
              9, "Guarda"          ,          2,          4, 4651.57114218695
             10, "Leiria"          ,          2,          2, 6561.67096369147
             10, "Leiria"          ,          0,          0, 7034.16195587666
             10, "Leiria"          ,          1,          0, 6693.94475847686
             10, "Leiria"          ,          0,          1, 7036.03449790333
             10, "Leiria"          ,          1,          2, 6267.30285199879
             10, "Leiria"          ,          0,          2, 7042.92715001945
             10, "Leiria"          ,          1,          3, 6516.90058504006
             10, "Leiria"          ,          0,          3, 7047.93676096194
             10, "Leiria"          ,          2,          1, 6575.47126439618
             10, "Leiria"          ,          2,          3, 6269.9152687879
             11, "Lisboa"          ,          2,          2, 9078.2151260244
             11, "Lisboa"          ,          0,          0, 9558.21443117931
             11, "Lisboa"          ,          1,          0, 9318.74592640683
             11, "Lisboa"          ,          0,          1, 9563.4835854141
             11, "Lisboa"          ,          1,          2, 8717.43784210265
             11, "Lisboa"          ,          0,          2, 9740.08676942658
             11, "Lisboa"          ,          1,          3, 8879.07639691491
             11, "Lisboa"          ,          0,          3, 9573.99519753521
             11, "Lisboa"          ,          2,          1, 9078.65061360319
             11, "Lisboa"          ,          2,          3, 8613.78505218645
             11, "Lisboa"          ,          2,          4, 8591.69073481564
             11, "Lisboa"          ,          1,          4, 8949.40564058284
             11, "Lisboa"          ,          2,          5, 8367.23294499045
             11, "Lisboa"          ,          1,          5, 8904.16996035244
             11, "Lisboa"          ,          2,          6, 8831.01201009715
             11, "Lisboa"          ,          1,          6, 8308.68159897762
             11, "Lisboa"          ,          0,          6, 9581.62426696087
             11, "Lisboa"          ,          1,          7, 8781.45766677846
             11, "Lisboa"          ,          0,          5, 9584.83003348337
             11, "Lisboa"          ,          0,          7, 9593.45200492119
             11, "Lisboa"          ,          2,          7, 8645.45878413286
             12, "Portalegre"      ,          2,          2, 3833.93905754312
             12, "Portalegre"      ,          0,          0, 3944.63178253413
             12, "Portalegre"      ,          1,          0, 3913.43371781396
             12, "Portalegre"      ,          0,          1, 3946.96404238198
             12, "Portalegre"      ,          1,          2, 3739.03214592881
             12, "Portalegre"      ,          0,          2, 3966.7624193905
             12, "Portalegre"      ,          1,          3, 3740.00772608156
             12, "Portalegre"      ,          0,          3, 3975.84239864774
             12, "Portalegre"      ,          2,          1, 3738.3134161106
             12, "Portalegre"      ,          1,          1, 3739.35675089355
             12, "Portalegre"      ,          3,          0, 3853.89105315454
             12, "Portalegre"      ,          3,          2, 3853.82759534587
             13, "Porto"           ,          2,          2, 7204.42207661025
             13, "Porto"           ,          0,          0, 8145.68528041724
             13, "Porto"           ,          1,          0, 7928.6312263179
             13, "Porto"           ,          0,          1, 8149.27477381541
             13, "Porto"           ,          1,          2, 7202.96360848096
             13, "Porto"           ,          0,          2, 8154.19504045589
             13, "Porto"           ,          1,          3, 7202.60638703413
             13, "Porto"           ,          0,          3, 8168.34552348766
             13, "Porto"           ,          1,          4, 7187.75058245645
             13, "Porto"           ,          0,          4, 8170.64733100076
             13, "Porto"           ,          1,          5, 7176.82860162776
             13, "Porto"           ,          0,          5, 8178.43854222324
             13, "Porto"           ,          1,          6, 7159.58220566092
             13, "Porto"           ,          0,          6, 8191.56764481886
             13, "Porto"           ,          1,          7, 7535.82983951259
             13, "Porto"           ,          0,          7, 8198.07819967861
             13, "Porto"           ,          2,          5, 7587.18226407893
             13, "Porto"           ,          2,          7, 7555.75335594997
             14, "Santarém"        ,          2,          2, 6252.91353973876
             14, "Santarém"        ,          0,          0, 6656.13567935072
             14, "Santarém"        ,          1,          0, 6398.72190093961
             14, "Santarém"        ,          0,          1, 6658.20570491819
             14, "Santarém"        ,          1,          2, 6006.84932696489
             14, "Santarém"        ,          0,          2, 6664.08329236792
             14, "Santarém"        ,          1,          3, 6009.73195808805
             14, "Santarém"        ,          0,          3, 6669.27775960678
             14, "Santarém"        ,          2,          1, 6302.32306840784
             14, "Santarém"        ,          2,          3, 6142.22716902892
             15, "Setúbal"         ,          2,          2, 6632.26759367849
             15, "Setúbal"         ,          0,          0, 7049.5820539633
             15, "Setúbal"         ,          1,          0, 6733.57529876938
             15, "Setúbal"         ,          0,          1, 7051.6910244179
             15, "Setúbal"         ,          1,          2, 6407.47102727051
             15, "Setúbal"         ,          0,          2, 7057.49007622166
             15, "Setúbal"         ,          1,          3, 6385.43763636655
             15, "Setúbal"         ,          0,          3, 7061.10516854337
             15, "Setúbal"         ,          1,          4, 6653.89556236628
             15, "Setúbal"         ,          0,          4, 7065.5347730974
             15, "Setúbal"         ,          2,          4, 6659.28160049364
             16, "Viana do Castelo",          2,          2, 4868.52311999381
             16, "Viana do Castelo",          0,          0, 5245.89634444877
             16, "Viana do Castelo",          1,          0, 4991.34855933337
             16, "Viana do Castelo",          0,          1, 5248.43705716037
             16, "Viana do Castelo",          1,          2, 4597.10146316794
             16, "Viana do Castelo",          0,          2, 5264.31892911022
             16, "Viana do Castelo",          1,          3, 4599.65973273236
             16, "Viana do Castelo",          0,          3, 5268.71531951832
             16, "Viana do Castelo",          2,          1, 4869.88384677413
             16, "Viana do Castelo",          2,          3, 4600.56540688011
             17, "Vila Real"       ,          2,          2, 5387.11918138086
             17, "Vila Real"       ,          0,          0, 5454.04068941382
             17, "Vila Real"       ,          1,          0, 5440.38193430246
             17, "Vila Real"       ,          0,          1, 5456.0461179235
             17, "Vila Real"       ,          1,          2, 5454.52822450099
             17, "Vila Real"       ,          2,          3, 5414.25475527052
