"method"     , "sim_id", "p_order", "q_order", "time"           , "n_models_tested", "aic"           , "bic"           , "intercept"        , "sigmasq"         , "beta1"           , "beta2"            , "beta3"            , "beta4"          , "alpha1"           , "alpha2"            , "alpha3"          , "alpha4"         , "status" , "error_message"
"stepwise"   ,        1,         1,         0,  7.58000000000175,                 6, 1993.61440050912, 2006.25822480439, 0.848183194583306  , 0.088231300355746 , 0.173532109394748 ,                    ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
"stepwise"   ,        2,         1,         0,  7.08000000000175,                 6, 2036.68486808927, 2049.32869238453, 0.755880273258503  , 0.155708120906137 , 0.242223353274097 ,                    ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
"stepwise"   ,        3,         1,         0,  7.03000000000247,                 6, 1997.33256110805, 2009.97638540332, 0.821448582780332  , 0.0707275796176344, 0.206881765273567 ,                    ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
"stepwise"   ,        4,         1,         0,  7.52000000000044,                 6, 2040.36125378684, 2053.00507808211, 0.898781624743592  , 0.0901647607101441, 0.174823749487219 ,                    ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
"stepwise"   ,        5,         1,         2, 12.0900000000001 ,                11, 2047.27268370367, 2068.34572419578, 0.678441796057481  , 0.12432552111075  , 0.18368099055353  ,                    ,                    ,                  , 0.555775067416009  , -0.395379927675972  ,                   ,                  , "Success", ""
"stepwise"   ,        6,         1,         0,  6.69000000000233,                 6, 2049.51163098578, 2062.15545528105, 0.80749624740994   , 0.115361566734043 , 0.230024082197079 ,                    ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
"stepwise"   ,        7,         1,         1,  9.29999999999927,                 8, 2020.40317055121, 2037.2616029449 , 0.175202074893871  , 0.116263323191387 , 0.135467421176897 ,                    ,                    ,                  , 0.681616643201986  ,                     ,                   ,                  , "Success", ""
"stepwise"   ,        8,         1,         0,  6.79000000000087,                 6, 2009.77239497746, 2022.41621927273, 0.788697365937232  , 0.0748699212806577, 0.229718524233211 ,                    ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
"stepwise"   ,        9,         1,         0,  6.68999999999869,                 6, 1993.82630920913, 2006.4701335044 , 0.720423021784625  , 0.0759276949916894, 0.280576428429166 ,                    ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       10,         1,         1,  8.48999999999796,                 8, 1930.12189493899, 1946.98032733267, 1.39075426443485   , 0.0768862888230656, 0.134553153049929 ,                    ,                    ,                  , -0.602786052615271 ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       11,         1,         0,  7.38999999999942,                 6, 2000.78998358394, 2013.4338078792 , 0.885960861665459  , 0.101130500138951 , 0.138781291779525 ,                    ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       12,         1,         0,  7.13999999999942,                 6, 1965.76992263931, 1978.41374693457, 0.726531704211435  , 0.0829335937045827, 0.229021207314371 ,                    ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       13,         1,         0,  6.87000000000262,                 6, 2038.31885903303, 2050.9626833283 , 0.834689727093027  , 0.113203731137467 , 0.198583167347895 ,                    ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       14,         1,         0,  6.88999999999942,                 6, 2029.77481945774, 2042.418643753  , 0.758930515241166  , 0.123020081744904 , 0.255427487743291 ,                    ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       15,         2,         1, 10.5799999999981 ,                 9, 2015.09699969347, 2036.17004018558, 0.4263561842308    , 0.121506677979524 , 0.244110452534463 , -0.228276078711847 ,                    ,                  , 0.576378131475956  ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       16,         1,         0,  7.20999999999913,                 6, 1993.70368765588, 2006.34751195115, 0.881427796910032  , 0.0823305321597806, 0.142620205766133 ,                    ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       17,         1,         0,  6.78000000000247,                 6, 2013.91718355434, 2026.5610078496 , 0.796063714461     , 0.0984082863561214, 0.224896559737684 ,                    ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       18,         1,         0,  6.92000000000189,                 6, 2048.88716110162, 2061.53098539689, 0.830066558801757  , 0.123783621569955 , 0.207263631010794 ,                    ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
"stepwise"   ,       19,         1,         0,  7.31000000000131,                 6, 2035.4112728849 , 2048.05509718017, 0.781976980347071  , 0.103700336286011 , 0.240846276470571 ,                    ,                    ,                  ,                    ,                     ,                   ,                  , "Success", ""
