"district_code", "district_name"   , "p", "q", "aic"           , "bic"           , "aicc"          , "time_secs"      , "n_models_stepwise", "betas_str"                                              , "alphas_str"                                         , "covariates_used_names"                                    , "status"
              1, "Aveiro"          ,   4,   4, 6098.42843496157, 6168.42034950668, 6096.42843496157,  2017.74741792679,                   1, "0.12996,0.16109,0.18278,0.11571"                        , "1e-04,1e-04,0.27437,0.85542"                        , "mean.Temp.Lag5, mean.DTemp.Lag0, PM25.Lag0, mean.NO2.Lag2", "Success"
              2, "Beja"            ,   5,   1, 3755.33493830743, 3815.32800791752, 3753.33493830743,  2060.69965004921,                   1, "0.03913,1e-04,0.00553,0.02032,0.0742"                   , "0.88828"                                            , "mean.Temp.Lag4, mean.DTemp.Lag4, PM25.Lag0, mean.NO2.Lag2", "Success"
              3, "Braga"           ,   7,   1, 6735.58472170552, 6805.57663625063, 6733.58472170552,  7102.87314891815,                   1, "0.11471,0.02726,0.02204,0.04192,0.02631,0.10893,0.44274", "0.16193"                                            , "mean.Temp.Lag7, mean.DTemp.Lag4, PM25.Lag7, mean.NO2.Lag4", "Success"
              4, "Bragança"        ,   7,   7, 4596.32011892066, 4696.30856827082, 4594.32011892066,  6640.71627187729,                   1, "0.08729,0.01646,0.10005,0.01142,0.08413,0.05153,0.07565", "0.15869,1e-04,0.03506,1e-04,1e-04,0.12212,0.69524"  , "mean.Temp.Lag7, mean.DTemp.Lag3, PM25.Lag7, mean.NO2.Lag4", "Success"
              5, "Castelo Branco"  ,   7,   6, 4651.59151867114, 4746.58054555379, 4649.59151867114,  5008.97763705254,                   1, "0.06342,0.02037,1e-04,0.07278,0.06216,1e-04,0.0935"     , "0.43521,0.0892,1e-04,1e-04,0.15835,0.48628"         , "mean.Temp.Lag7, mean.DTemp.Lag7, PM25.Lag1, mean.NO2.Lag1", "Success"
              6, "Coimbra"         ,   7,   6, 5534.07950015044, 5629.06852703309, 5532.07950015044,  1571.95858597755,                   1, "0.11125,1e-04,0.13333,0.02832,1e-04,0.18067,1e-04"      , "0.68957,1e-04,1e-04,0.41966,1e-04,0.81955"          , "mean.Temp.Lag7, mean.DTemp.Lag7, PM25.Lag6, mean.NO2.Lag2", "Success"
              7, "Évora"           ,   7,   7, 4322.88184561955, 4422.87029496971, 4320.88184561955, 14393.7137579918 ,                   1, "0.06008,0.06219,1e-04,0.05861,0.02844,0.11888,0.12541"  , "1e-04,0.0278,1e-04,0.42358,1e-04,0.15954,0.45619"   , "mean.Temp.Lag4, mean.DTemp.Lag4, PM25.Lag2, mean.NO2.Lag1", "Success"
              8, "Faro"            ,   1,   1, 4947.80630330443, 4987.80168304449, 4945.80630330443,  2261.12285995483,                   1, "0.08428"                                                , "0.91572"                                            , "mean.Temp.Lag7, mean.DTemp.Lag7, PM25.Lag0, mean.NO2.Lag2", "Success"
              9, "Guarda"          ,   7,   7, 4596.15633956202, 4696.14478891218, 4594.15633956202,  9057.14031004906,                   1, "0.10086,1e-04,0.16703,0.07007,0.02208,0.10482,0.14785"  , "0.03712,1e-04,1e-04,1e-04,1e-04,0.03354,0.63486"    , "mean.Temp.Lag6, mean.DTemp.Lag5, PM25.Lag0, mean.NO2.Lag2", "Success"
             10, "Leiria"          ,   7,   7, 6152.23290168904, 6252.2213510392 , 6150.23290168904,  1487.11603498459,                   1, "0.09006,0.02854,0.1399,0.07215,0.09574,0.06345,0.15175" , "0.18203,1e-04,1e-04,1e-04,1e-04,0.1347,0.54959"     , "mean.Temp.Lag7, mean.DTemp.Lag7, PM25.Lag6, mean.NO2.Lag2", "Success"
             11, "Lisboa"          ,   5,   6, 7911.59065048229, 7996.58083242993, 7909.59065048229,  1168.62860512733,                   1, "0.23357,1e-04,0.36332,1e-04,0.24196"                    , "0.9985,1e-04,0.60779,1e-04,1e-04,0.56717"           , "mean.Temp.Lag6, mean.DTemp.Lag6, PM25.Lag6, mean.NO2.Lag2", "Success"
             12, "Portalegre"      ,   2,   1, 3740.3134161106 , 3785.30821831818, 3738.3134161106 ,  1321.57550001144,                   1, "0.12951,1e-04"                                          , "0.95513"                                            , "mean.Temp.Lag6, mean.DTemp.Lag7, PM25.Lag6, mean.NO2.Lag4", "Success"
             13, "Porto"           ,   1,   6, 7161.58220566092, 7226.57469773852, 7159.58220566092,  4330.14172506332,                   1, "0.2405"                                                 , "0.38462,1e-04,0.02666,1e-04,0.04437,0.5663"         , "mean.Temp.Lag6, mean.DTemp.Lag3, PM25.Lag6, mean.NO2.Lag2", "Success"
             14, "Santarém"        ,   6,   6, 5868.97330949122, 5958.96291390637, 5866.97330949122,  2141.6569621563 ,                   1, "0.09322,1e-04,0.07936,0.01583,0.02116,0.11516"          , "0.99954,1e-04,0.57381,1e-04,1e-04,0.58765"          , "mean.Temp.Lag6, mean.DTemp.Lag6, PM25.Lag5, mean.NO2.Lag2", "Success"
