"district_code","district_name","p","q","aic_value","bic_value","time_secs","n_models_tested","intercept","sigmasq","betas_str","alphas_str","mean.Temp","mean.DTemp","PM25","mean.NO2","covariates_used_names","status","error_message"
1,"Aveiro",1,7,6096.81149176864,6166.80340631375,190.048587083817,24,0.0156058128915441,0.0216172115789768,"0.14675","0.57747,0.27174,-0.08694,-0.33311,0.37264,0.63858,-0.59182",-0.00182380520701142,0.00184588508533441,0.000465754765421835,-0.00150997471877228,"mean.Temp.Lag5,mean.DTemp.Lag0,PM25.Lag0,mean.NO2.Lag2","Success",""
2,"Beja",1,1,3746.92033566611,3786.91571540618,58.7305519580841,9,1e-04,0.0347122557880035,"0.05562","0.94437",-0.0031115600244851,0.00310515827640822,0.00254585454521838,-0.00559373948708701,"mean.Temp.Lag4,mean.DTemp.Lag4,PM25.Lag0,mean.NO2.Lag2","Success",""
3,"Braga",1,1,7087.32960541569,7127.32498515576,45.022999048233,9,20.2561360613444,0.0810501492200336,"0.2742","-0.27392",-0.0428121648089575,-0.0181373560636102,0.0134786438165371,-0.0232687189375345,"mean.Temp.Lag7,mean.DTemp.Lag4,PM25.Lag7,mean.NO2.Lag4","Success",""
4,"Bragança",3,6,4619.41131775687,4694.40265476949,236.864834070206,27,0.0101045383069866,0.0313934947951251,"0.11186,-0.12515,0.1136","0.74593,-0.40311,0.0247,0.23494,-0.56411,0.85675",-0.0027658237140378,0.0025841797943973,0.00755777047912057,-0.00383671828571955,"mean.Temp.Lag7,mean.DTemp.Lag3,PM25.Lag7,mean.NO2.Lag4","Success",""
5,"CasteloBranco",1,3,4676.84803606927,4726.84226074435,132.496636867523,14,1e-04,0.0413735547367511,"0.1375","0.28447,-0.13378,0.7118",-0.00435404012842864,0.00428821001605995,0.00663167150440409,-0.00640441885171622,"mean.Temp.Lag7,mean.DTemp.Lag7,PM25.Lag1,mean.NO2.Lag1","Success",""
6,"Coimbra",6,6,5498.23755295467,5588.22715736981,252.355872154236,31,0.000157020986368952,0.0200212164422157,"0.10956,-0.00337,0.07799,0.03985,-0.00182,0.121","0.68685,-0.44428,-0.06385,0.3916,-0.78777,0.87419",-0.00327269347995317,0.00328585272964376,0.000189252542656111,-0.00256214021373758,"mean.Temp.Lag7,mean.DTemp.Lag7,PM25.Lag6,mean.NO2.Lag2","Success",""
7,"Évora",2,1,4352.88533324828,4397.88013545585,74.0415790081024,14,0.0418192745880954,0.0549424888009227,"0.0363,0.0199","0.91389",-0.00277017452423236,0.00281141781171849,-0.00126094250551589,0.000941708528026454,"mean.Temp.Lag4,mean.DTemp.Lag4,PM25.Lag2,mean.NO2.Lag1","Success",""
8,"Faro",1,1,4950.37156202473,4990.36694176479,60.4005608558655,9,1e-04,0.0370137769189288,"0.07355","0.92645",-0.0016533754803578,0.00161486457441832,0.00138259328773537,0.00016520358394764,"mean.Temp.Lag7,mean.DTemp.Lag7,PM25.Lag0,mean.NO2.Lag2","Success",""
9,"Guarda",3,1,4651.4857315003,4701.47995617538,75.2244398593903,14,0.0239149742127392,0.0459131702447776,"0.13734,-0.21026,0.11206","0.94948",-0.0021813415612074,0.00212819683654533,0.00214829531590776,-0.00087074352831928,"mean.Temp.Lag6,mean.DTemp.Lag5,PM25.Lag0,mean.NO2.Lag2","Success",""
10,"Leiria",1,2,6267.80894251008,6312.80374471765,59.8715028762817,11,0.000101452608674663,0.0779525908447489,"0.13521","0.20415,0.6606",-0.00328887737971197,0.00332582618959886,0.000109465964650012,-0.000368030323677368,"mean.Temp.Lag7,mean.DTemp.Lag7,PM25.Lag6,mean.NO2.Lag2","Success",""
11,"Lisboa",7,4,8173.83542577545,8258.82560772309,219.83701300621,30,1.19497069413115,0.0320780353604299,"0.22031,-0.0225,0.11936,-0.08567,0.13345,0.21545,0.28082","0.64471,-0.98148,0.72176,-0.4898",-0.00738768025468619,0.00652483409784958,-0.00115333376142408,0.00186768231106534,"mean.Temp.Lag6,mean.DTemp.Lag6,PM25.Lag6,mean.NO2.Lag2","Success",""
12,"Portalegre",4,0,3841.3425478844,3891.33677255948,75.3430938720703,14,0.962678078784503,0.104162333436942,"0.28534,0.14046,0.17106,0.12959","",-0.0339346288159076,0.0315525592082734,0.0142150586754082,-0.0554748815282145,"mean.Temp.Lag6,mean.DTemp.Lag7,PM25.Lag6,mean.NO2.Lag4","Success",""
13,"Porto",1,7,7108.5228887305,7178.51480327561,205.721986055374,23,0.0051618075459166,0.0232897913202388,"0.11362","0.99688,-0.15524,-0.0117,-0.26765,0.03446,0.98218,-0.69382",-0.000481617440779011,0.000471833869556123,0.000179015951126107,-1e-04,"mean.Temp.Lag6,mean.DTemp.Lag3,PM25.Lag6,mean.NO2.Lag2","Success",""
14,"Santarém",2,2,6009.84201057011,6059.83623524519,133.892813920975,12,0.000943803541950052,0.0340222455272581,"0.1216,0.04285","0.02837,0.80687",-0.0018381016203101,0.0018154867517878,0.00157033254946969,-0.000964556839584612,"mean.Temp.Lag6,mean.DTemp.Lag6,PM25.Lag5,mean.NO2.Lag2","Success",""
15,"Setúbal",1,3,6393.86012173491,6443.85434640999,111.31110906601,14,1e-04,0.0569700388295911,"0.22646","0.0843,0.10318,0.58605",-0.00230659737617294,0.00234113502176902,0.000799609823683288,-0.00189308890296745,"mean.Temp.Lag6,mean.DTemp.Lag6,PM25.Lag5,mean.NO2.Lag2","Success",""
16,"VianadoCastelo",1,1,4580.59663894478,4620.59201868484,56.0730500221252,9,1e-04,0.0311823968839779,"0.07242","0.92758",-0.00484283237674609,0.00480007622159287,0.00238695773841868,-0.00025126513850032,"mean.Temp.Lag5,mean.DTemp.Lag2,PM25.Lag5,mean.NO2.Lag3","Success",""
17,"VilaReal",2,2,5378.65382328628,5428.64804796136,207.318397045135,12,0.0874815852306887,0.047615513478842,"0.10544,0.07674","-0.11487,0.89682",-0.00213801928189551,0.00186737161636494,0.000785676067377851,0.0134337047498704,"mean.Temp.Lag6,mean.DTemp.Lag2,PM25.Lag5,mean.NO2.Lag6","Success",""
18,"Viseu",1,3,5592.12483152123,5642.1190561963,93.9579329490662,14,1e-04,0.0253698108454032,"0.21401","0.27784,0.0939,0.41421",-0.00302878246431361,0.00309223577376593,0.00148911599371896,-0.00771985457558013,"mean.Temp.Lag6,mean.DTemp.Lag2,PM25.Lag4,mean.NO2.Lag2","Success",""
